checkpoint_name,train_mode,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
gpt2_to_llama1b_to_llama1b_converter_only_mem16_len128_100000samples_20260422_094658,converter_only,16,1000,1000,0.485197,0.876773,0.876773,0.620689,0.823032,0.656789,0.566200,0.500525,0.775690,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama1b_converter_only_mem16_len128_100000samples_20260422_094658
gpt2_to_llama1b_to_llama1b_converter_only_mem32_len128_100000samples_20260409_183234,converter_only,32,1000,1000,0.197096,0.955125,0.955125,0.853841,0.919700,0.867543,0.833261,0.805460,0.904743,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama1b_converter_only_mem32_len128_100000samples_20260409_183234
gpt2_to_llama1b_to_llama1b_converter_only_mem8_len128_100000samples_20260415_093627,converter_only,8,1000,1000,1.059829,0.726781,0.726781,0.307059,0.657353,0.368851,0.239952,0.169367,0.528444,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama1b_converter_only_mem8_len128_100000samples_20260415_093627
gpt2_to_llama1b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260422_095934,encoder_converter,16,1000,1000,0.471169,0.879648,0.879648,0.631689,0.824008,0.669135,0.580636,0.516663,0.777239,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama1b_encoder_converter_mem16_len128_100000samples_20260422_095934
gpt2_to_llama1b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260409_183234,encoder_converter,32,1000,1000,0.194616,0.955562,0.955562,0.856505,0.918808,0.868889,0.837058,0.811724,0.903243,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama1b_encoder_converter_mem32_len128_100000samples_20260409_183234
gpt2_to_llama1b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260415_094856,encoder_converter,8,1000,1000,1.039421,0.731414,0.731414,0.299816,0.655199,0.363215,0.232333,0.160490,0.536538,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260415_094856
gpt2_to_llama1b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_101633,converter_only,16,1000,1000,0.583432,0.855406,0.855406,0.585243,0.807241,0.626455,0.528732,0.461029,0.758411,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_101633
gpt2_to_llama1b_to_llama3b_converter_only_mem32_len128_100000samples_20260409_185301,converter_only,32,1000,1000,0.262279,0.942898,0.942898,0.835159,0.905615,0.850458,0.815037,0.786685,0.893165,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama3b_converter_only_mem32_len128_100000samples_20260409_185301
gpt2_to_llama1b_to_llama3b_converter_only_mem8_len128_100000samples_20260415_100612,converter_only,8,1000,1000,1.143037,0.710680,0.710680,0.278734,0.628641,0.343017,0.215288,0.146849,0.499699,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama3b_converter_only_mem8_len128_100000samples_20260415_100612
gpt2_to_llama1b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260422_103326,encoder_converter,16,1000,1000,0.579958,0.856414,0.856414,0.578495,0.803531,0.620581,0.523764,0.453110,0.753160,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/ori_transfer/gpt2_to_llama1b_to_llama3b_encoder_converter_mem16_len128_100000samples_20260422_103326
