checkpoint_name,source_model,target_model,model_pair,n_mem_tokens,num_samples,num_recovered_texts,avg_loss,avg_accuracy,overall_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path
gpt2_to_llama1b_mem16_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3.2-1B-Instruct,16,1000,1000,0.485433,0.877039,0.877039,0.601774,0.813499,0.643199,0.546893,0.479969,0.767207,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama1b_mem16_len128_ds_4gpu
gpt2_to_llama1b_mem32_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3.2-1B-Instruct,32,1000,1000,0.196777,0.955039,0.955039,0.859761,0.924414,0.873500,0.838992,0.812605,0.906844,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama1b_mem32_len128_ds_4gpu
gpt2_to_llama1b_mem8_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3.2-1B-Instruct,8,1000,1000,1.061766,0.725906,0.725906,0.309337,0.668792,0.376191,0.243822,0.168720,0.539839,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama1b_mem8_len128_ds_4gpu
gpt2_to_llama3b_mem16_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3.2-3B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3.2-3B-Instruct,16,1000,1000,0.326041,0.915781,0.915781,0.706925,0.876750,0.741153,0.658778,0.601556,0.838323,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama3b_mem16_len128_ds_4gpu
gpt2_to_llama3b_mem32_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3.2-3B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3.2-3B-Instruct,32,1000,1000,0.168817,0.960195,0.960195,0.862487,0.924081,0.873910,0.843340,0.817270,0.910954,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama3b_mem32_len128_ds_4gpu
gpt2_to_llama3b_mem8_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3.2-3B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3.2-3B-Instruct,8,1000,1000,0.744861,0.801414,0.801414,0.407106,0.734575,0.472070,0.335486,0.253176,0.623793,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama3b_mem8_len128_ds_4gpu
gpt2_to_llama8b_mem16_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3-8B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3-8B-Instruct,16,1000,1000,0.219250,0.944008,0.944008,0.789111,0.904001,0.810463,0.756303,0.714300,0.876255,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama8b_mem16_len128_ds_4gpu
gpt2_to_llama8b_mem32_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3-8B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3-8B-Instruct,32,1000,1000,0.132209,0.968680,0.968680,0.889459,0.936313,0.898973,0.873723,0.853733,0.926015,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama8b_mem32_len128_ds_4gpu
gpt2_to_llama8b_mem8_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Llama-3-8B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Llama-3-8B-Instruct,8,1000,1000,0.543429,0.851234,0.851234,0.506327,0.776396,0.557592,0.440970,0.363900,0.697260,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_llama8b_mem8_len128_ds_4gpu
gpt2_to_mistral7b_mem16_len128_ds_4gpu,${MODELS_DIR}/gpt2,${MODELS_DIR}/Mistral-7B-Instruct,${MODELS_DIR}/gpt2-${MODELS_DIR}/Mistral-7B-Instruct,16,1000,1000,0.170148,0.951000,0.951000,0.814790,0.925154,0.835867,0.783358,0.740745,0.907281,paper_json_summary_passthrough,${PROJECT_ROOT}/backups/simple_compressor_server_eval/outputs/simple_compressor/gpt2_to_mistral7b_mem16_len128_ds_4gpu
