checkpoint_name,source_experiment,source_model,target_model,transfer_method,dataset_path,num_texts,num_recovered_texts,avg_transfer_accuracy,avg_bleu,avg_bleu1,avg_bleu2,avg_bleu3,avg_bleu4,avg_rougeL,metric_source,checkpoint_path,eval_file
gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama3b_mem16_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Llama-3.2-3B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.375441,0.106590,0.505643,0.185303,0.071715,0.033245,0.399578,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama3b_mem16_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama3b_mem16_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama3b_mem16_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama8b_mem16_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Llama-3-8B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.419268,0.143056,0.542334,0.221547,0.102432,0.054789,0.438973,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama8b_mem16_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama8b_mem16_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_llama8b_mem16_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_mistral7b_mem16_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Mistral-7B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.443189,0.127762,0.497920,0.200605,0.093946,0.050342,0.417945,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_mistral7b_mem16_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_mistral7b_mem16_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_mistral7b_mem16_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem16_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Qwen/Qwen2.5-1.5B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.406559,0.138221,0.534649,0.216365,0.100539,0.053265,0.433253,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem16_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem16_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem16_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen3b_mem16_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Qwen/Qwen2.5-3B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.374465,0.132232,0.520545,0.207347,0.095630,0.052968,0.416364,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen3b_mem16_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen3b_mem16_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen3b_mem16_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen7b_mem16_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Qwen/Qwen2.5-7B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.434465,0.172819,0.552767,0.250072,0.135480,0.084603,0.460283,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen7b_mem16_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen7b_mem16_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem16_len128_ds_4gpu_to_gpt2_to_qwen7b_mem16_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama3b_mem32_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Llama-3.2-3B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.368969,0.108225,0.506658,0.185393,0.073038,0.035043,0.397573,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama3b_mem32_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama3b_mem32_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama3b_mem32_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama8b_mem32_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Llama-3-8B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.410039,0.141316,0.538031,0.218758,0.100057,0.052151,0.438889,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama8b_mem32_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama8b_mem32_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_llama8b_mem32_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_mistral7b_mem32_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Mistral-7B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.423339,0.109287,0.478480,0.177946,0.079973,0.040630,0.398055,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_mistral7b_mem32_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_mistral7b_mem32_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_mistral7b_mem32_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem32_len128_ds_4gpu,simple_compressor,${MODELS_DIR}/Llama-3.2-1B-Instruct,${MODELS_DIR}/Qwen/Qwen2.5-1.5B-Instruct,random,${PROJECT_ROOT}/${DATA_ROOT}/fineweb_test.json,1000,50,0.404016,0.133771,0.528524,0.212680,0.099321,0.052232,0.429317,saved_generated_text_vs_shift_aligned_reference,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem32_len128_ds_4gpu,backups/simple_compressor_server_eval/outputs/simple_compressor/transfer_compressor/random_transfer/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem32_len128_ds_4gpu/evaluation/gpt2_to_llama1b_mem32_len128_ds_4gpu_to_gpt2_to_qwen1.5b_mem32_len128_ds_4gpu/eval_transfer_compression_results_from_simple_compressor_using_random.json
