encoder,source_a,source_b,pair_ab,pair_ba,retention_ab,retention_ba,retention_abs_gap,direction_rmse_ab,direction_rmse_ba,direction_rmse_abs_gap,anchor_js_ab,anchor_js_ba,anchor_js_abs_gap,norm_gap_ab,norm_gap_ba,norm_gap_abs_gap
llama1b,llama3b,qwen3b,llama1b:llama3b->qwen3b,llama1b:qwen3b->llama3b,0.0518824438904805,0.9847757538325528,0.9328933099420723,0.05483099797856994,0.14144392567686737,0.08661292769829743,0.008660591513034888,0.021623603519401513,0.012963012006366625,3.810087885300163,5.419541742652655,1.6094538573524915
gpt2,mistral7b,qwen3b,gpt2:mistral7b->qwen3b,gpt2:qwen3b->mistral7b,0.012343426669199164,0.9300981051775126,0.9177546785083134,0.03500513706239872,0.04554852575529367,0.01054338869289495,0.008805426303297281,0.006583585429325467,0.0022218408739718143,2.8032761793001555,6.726765043684281,3.923488864384126
gpt2,llama3b,qwen3b,gpt2:llama3b->qwen3b,gpt2:qwen3b->llama3b,0.01641833195045635,0.9302467406174284,0.913828408666972,0.060516358353197575,0.1438047121046111,0.08328835375141352,0.0096980268281186,0.022690612604492344,0.012992585776373744,3.6243299603811465,4.854302856256254,1.2299728958751075
gpt2,llama8b,qwen3b,gpt2:llama8b->qwen3b,gpt2:qwen3b->llama8b,0.04432912138994132,0.9528424997669687,0.9085133783770274,0.06459865969372913,0.02923567485413514,0.03536298483959399,0.012691307070781477,0.006150967579742428,0.006540339491039049,3.2861414600047283,5.467649739002809,2.1815082789980806
gpt2,qwen1.5b,qwen7b,gpt2:qwen1.5b->qwen7b,gpt2:qwen7b->qwen1.5b,0.9991403849568712,0.17300553358727122,0.8261348513696,0.028313947535934858,0.11226362071465701,0.08394967317872215,0.008206143873394467,0.027767549399868585,0.019561405526474118,5.191220628214069,5.0948147140443325,0.0964059141697362
gpt2,qwen1.5b,qwen3b,gpt2:qwen1.5b->qwen3b,gpt2:qwen3b->qwen1.5b,0.015826027410954385,0.8128140817542893,0.7969880543433349,0.06563023442868143,0.10835457139182836,0.042724336963146925,0.01715328439604491,0.02352602401515469,0.00637273961910978,4.715070199104957,4.932185368845239,0.217115169740282
llama1b,mistral7b,qwen3b,llama1b:mistral7b->qwen3b,llama1b:qwen3b->mistral7b,0.24678163485508053,0.959692190457537,0.7129105556024564,0.039645763754379004,0.042284208961063996,0.0026384452066849917,0.009519359104160685,0.00540935343815363,0.004110005666007055,4.057862352347001,7.291916135698557,3.2340537833515555
gpt2,qwen3b,qwen7b,gpt2:qwen3b->qwen7b,gpt2:qwen7b->qwen3b,1.0280027335489321,0.35263113172653027,0.6753716018224019,0.023680614365730435,0.08462626184336841,0.060945647477637976,0.0063886436182656325,0.020513616065727547,0.014124972447461914,5.335476758889854,5.023845894262195,0.3116308646276593
gpt2,llama3b,qwen1.5b,gpt2:llama3b->qwen1.5b,gpt2:qwen1.5b->llama3b,0.27678828053381416,0.9100525786619638,0.6332642981281495,0.08611718669999391,0.12409544258844107,0.037978255888447165,0.014118696868536063,0.02077476232079789,0.006656065452261828,3.7021280030021444,4.710060162702575,1.007932159700431
llama1b,mistral7b,qwen1.5b,llama1b:mistral7b->qwen1.5b,llama1b:qwen1.5b->mistral7b,0.3728279080961496,0.9824535095276203,0.6096256014314707,0.05356135172769427,0.03862718722666614,0.014934164501028135,0.013712231273530051,0.007653442917217035,0.006058788356313016,4.134772594785318,6.8534519237000495,2.7186793289147317
