mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.20025375692057423,0.95318603515625,1.0
gaussian,0.01,384,0.2004089583278983,0.9531656901041666,0.9999786557384047
gaussian,0.02,384,0.2004535829789044,0.9532063802083334,1.0000213442615953
gaussian,0.05,384,0.20120406988523123,0.9532877604166666,1.0001067213079764
gaussian,0.1,384,0.20390016155215562,0.95263671875,0.9994237049369277
gaussian,0.2,384,0.2183565032076634,0.9485677083333334,0.9951548526178737
gaussian,0.4,384,0.37808931833327125,0.9133097330729166,0.9581652472732706
gaussian,0.8,384,2.6761502331743636,0.4556477864583333,0.4780260826876694
gaussian,1.2,384,3.075813558573524,0.4093221028645833,0.42942519903523935
gaussian,1.6,384,3.1656902249281607,0.4013875325520833,0.421100937013084
gaussian,2.4,384,3.3367009488865733,0.3842976888020833,0.4031717572730571
gaussian,3.2,384,3.519520378050705,0.3653361002604167,0.3832789054662654
zero,nan,384,3.3621566416695714,0.38482666015625,0.40372670807453415
random,nan,384,5.069432963927587,0.23616536458333334,0.24776418859789545
shuffle,nan,384,0.4101584979895658,0.9293619791666666,0.9750058696719387
