mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,5.318923473358154,0.19659423828125,1.0
gaussian,0.01,384,5.3183304797858,0.19651285807291666,0.9995860498809893
gaussian,0.02,384,5.318024847035606,0.19649251302083334,0.9994825623512367
gaussian,0.05,384,5.317701843877633,0.19706217447916666,1.0023802131843111
gaussian,0.1,384,5.314260737970471,0.19730631510416666,1.0036220635413433
gaussian,0.2,384,5.303754224752386,0.19864908854166666,1.0104522405050191
gaussian,0.4,384,5.267894084254901,0.20131429036458334,1.0240091069026183
gaussian,0.8,384,5.185923531651497,0.21042887369791666,1.070371520231812
gaussian,1.2,384,5.136025483409564,0.21834309895833334,1.1106281693055988
gaussian,1.6,384,5.111070668324828,0.22420247395833334,1.1404325778743662
gaussian,2.4,384,5.184025955076019,0.22151692708333334,1.1267722239470144
gaussian,3.2,384,5.36561942845583,0.21073404947916666,1.071923833178102
zero,nan,384,3.3621566416695714,0.38482666015625,1.9574666252716548
random,nan,384,3.7213047705590725,0.3533935546875,1.7975783918037875
shuffle,nan,384,5.2918437862147885,0.19854736328125,1.0099348028562558
