mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.7802084708819166,0.79742431640625,1.0
gaussian,0.2,384,0.8791984093841165,0.77264404296875,0.9689246077305779
gaussian,0.3,384,1.0282704388567556,0.7389322916666666,0.9266488072458221
gaussian,0.35,384,1.142057058090965,0.71600341796875,0.8978951396861845
gaussian,0.4,384,1.2815477919454377,0.6902669270833334,0.8656206148743463
gaussian,0.45,384,1.4456278832318883,0.6573689778645834,0.8243653527235617
gaussian,0.5,384,1.6252506331851084,0.6233113606770834,0.7816558234468682
gaussian,0.6,384,2.0020312044459083,0.5566813151041666,0.6980992473529787
gaussian,0.7,384,2.3439425292114415,0.5030110677083334,0.6307947442275801
gaussian,0.8,384,2.592019733041525,0.46795654296875,0.586835055491772
gaussian,1.0,384,2.845523603260517,0.4359130859375,0.5466513585916571
gaussian,1.2,384,2.955122527976831,0.4221394856770833,0.529378747289195
