mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.3615451133809984,0.91021728515625,1.0
gaussian,0.2,384,1.0987315236901243,0.73370361328125,0.8060752363709515
gaussian,0.3,384,1.9006353624475498,0.5688069661458334,0.6249133865307673
gaussian,0.35,384,2.2477118941023946,0.5089518229166666,0.5591542055030286
gaussian,0.4,384,2.5165936357031264,0.4688313802083333,0.5150763316122399
gaussian,0.45,384,2.7071033505102,0.4439290364583333,0.487717651266233
gaussian,0.5,384,2.835765349989136,0.4301961263020833,0.47263014372247925
gaussian,0.6,384,2.965307372311751,0.416015625,0.4570508951921143
gaussian,0.7,384,3.012101718224585,0.4126790364583333,0.4533851896555578
gaussian,0.8,384,3.033791390247643,0.4117024739583333,0.4523123002302242
gaussian,1.0,384,3.056790502431492,0.4107259114583333,0.45123941080489055
gaussian,1.2,384,3.076714199346801,0.4092000325520833,0.4495630210778068
zero,nan,384,3.579534932039678,0.372802734375,0.40957553812110237
random,nan,384,3.5706016371647515,0.3599446614583333,0.39544916068754327
shuffle,nan,384,1.154937347319598,0.7372029622395834,0.8099197568117303
