mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.25060742169443984,0.938720703125,1.0
gaussian,0.2,384,0.45579591773760814,0.88470458984375,0.9424577373211963
gaussian,0.3,384,0.8104245295592895,0.7949015299479166,0.8467923710446467
gaussian,0.35,384,1.0522820041514933,0.7369588216145834,0.7850671868227135
gaussian,0.4,384,1.3231679517775774,0.6783243815104166,0.7226051148677937
gaussian,0.45,384,1.6059856836994488,0.623291015625,0.6639791937581274
gaussian,0.5,384,1.8863874290448923,0.5749918619791666,0.6125270914607716
gaussian,0.6,384,2.3705659431094923,0.4996134440104167,0.5322280017338535
gaussian,0.7,384,2.685899113615354,0.4567464192708333,0.4865626354573038
gaussian,0.8,384,2.8362434866527715,0.439208984375,0.4678803641092328
gaussian,1.0,384,2.9017375617598495,0.4334920247395833,0.461790203727785
gaussian,1.2,384,2.905698410856227,0.4331258138020833,0.46140008669267446
