mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,2.886883587576449,0.44769287109375,1.0
gaussian,0.01,384,2.8874762086197734,0.4483642578125,1.001499659168371
gaussian,0.02,384,2.8887428970386586,0.4475504557291667,0.9996818904794366
gaussian,0.05,384,2.896305254039665,0.4466349283854167,0.9976369007043854
gaussian,0.1,384,2.9317007763311267,0.4414876302083333,0.9861395137468757
gaussian,0.2,384,3.0678608852128186,0.426025390625,0.9516019086571234
gaussian,0.4,384,3.43406946832935,0.3782755533854167,0.8449443308339014
gaussian,0.8,384,3.608673200632135,0.3619791666666667,0.8085435128379914
gaussian,1.2,384,3.325465948941807,0.3918660481770833,0.8753010679391047
gaussian,1.6,384,3.2198370046292744,0.3997802734375,0.8929788684389911
gaussian,2.4,384,3.240708963945508,0.39862060546875,0.8903885480572598
gaussian,3.2,384,3.4347861974189677,0.3811238606770833,0.8513065212451715
zero,nan,384,3.143530083820224,0.41143798828125,0.9190184049079755
random,nan,384,2.9994680431361,0.41998291015625,0.938104976141786
shuffle,nan,384,3.6244867369532585,0.35137939453125,0.7848670756646217
