mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,3.450735148973763,0.3829345703125,1.0
gaussian,0.01,384,3.4543790373330316,0.3827107747395833,0.9994155775156731
gaussian,0.02,384,3.4543298119679093,0.3824055989583333,0.9986186377643183
gaussian,0.05,384,3.456148405869802,0.38226318359375,0.9982467325470195
gaussian,0.1,384,3.4556162195901075,0.3812459309895833,0.9955902667091701
gaussian,0.2,384,3.461361314790944,0.381103515625,0.9952183614918713
gaussian,0.4,384,3.473319015465677,0.3789876302083333,0.9896929125491446
gaussian,0.8,384,3.4752408027028046,0.3797607421875,0.9917118265859101
gaussian,1.2,384,3.386719916636745,0.3918660481770833,1.023323770056317
gaussian,1.6,384,3.196438841832181,0.4064127604166667,1.0613112315375626
gaussian,2.4,384,3.012720763372878,0.4191487630208333,1.094570183827436
gaussian,3.2,384,2.980043395111958,0.4218546549479167,1.1016363829561153
zero,nan,384,3.143530083820224,0.41143798828125,1.074434172776538
random,nan,384,3.385874887307485,0.3883056640625,1.0140261396238444
shuffle,nan,384,3.5173510859409967,0.3756306966145833,0.9809265752842418
