mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.002161524089814293,0.9996337890625,1.0
gaussian,0.01,384,0.002153857523561934,0.99969482421875,1.0000610575161804
gaussian,0.02,384,0.0021929737735698986,0.9996337890625,1.0
gaussian,0.05,384,0.0023166786013367377,0.9996744791666666,1.000040705010787
gaussian,0.1,384,0.0030810050538434552,0.9994913736979166,0.9998575324622461
gaussian,0.2,384,0.012068360023590685,0.9971516927083334,0.9975169943420036
gaussian,0.4,384,0.3146283184566225,0.9206136067708334,0.9209508690519803
gaussian,0.8,384,3.729838960493604,0.3260498046875,0.32616925143485165
gaussian,1.2,384,3.630562893425425,0.3453776041666667,0.3455041315585949
gaussian,1.6,384,3.643965534865856,0.3453165690104167,0.34544307404241464
gaussian,2.4,384,3.8013092869271836,0.3273111979166667,0.3274311067692433
gaussian,3.2,384,3.9847737283756337,0.31005859375,0.31017218219562825
zero,nan,384,4.245789689943194,0.27947998046875,0.27958236658932717
random,nan,384,4.975275075063109,0.24202473958333334,0.24211340416005211
shuffle,nan,384,1.9084277213446512,0.7262776692708334,0.7265437375340905
