mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.0017785590489580727,0.9996337890625,1.0
gaussian,0.01,384,0.0017800889903440975,0.9996337890625,1.0
gaussian,0.02,384,0.0017727155676965367,0.9996337890625,1.0
gaussian,0.05,384,0.001775750139714205,0.99969482421875,1.0000610575161804
gaussian,0.1,384,0.0019845714007686865,0.9996337890625,1.0
gaussian,0.2,384,0.0035356254886759566,0.9992268880208334,0.9995929498921318
gaussian,0.4,384,0.05582644097285083,0.98614501953125,0.9865062889241666
gaussian,0.8,384,3.25665176846087,0.3862101236979167,0.3863516098831766
gaussian,1.2,384,3.4688711535806456,0.367431640625,0.36756624740505556
gaussian,1.6,384,3.5710090197001896,0.358642578125,0.35877396507510073
gaussian,2.4,384,3.859827119857073,0.3292032877604167,0.3293238897708308
gaussian,3.2,384,4.120861654480298,0.3062744140625,0.3063866161924533
zero,nan,384,3.3621566416695714,0.38482666015625,0.3849676395164245
random,nan,384,5.240424788867434,0.22100830078125,0.2210892660886555
shuffle,nan,384,0.3130063883440736,0.96795654296875,0.9683111491024545
