mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.022663457193175418,0.99517822265625,1.0
gaussian,0.2,384,0.3586136236068948,0.9034016927083334,0.9077787999591128
gaussian,0.3,384,1.3560907660673063,0.68475341796875,0.6880711438209138
gaussian,0.35,384,1.9750883956439793,0.57330322265625,0.5760809567617295
gaussian,0.4,384,2.5366532895714045,0.47906494140625,0.4813860778902177
gaussian,0.45,384,2.9763893242925406,0.4128621419270833,0.41486251661044665
gaussian,0.5,384,3.2799148860697946,0.3749593098958333,0.3767760400695083
gaussian,0.6,384,3.5503056372205415,0.3454996744791667,0.3471736686088112
gaussian,0.7,384,3.5648390722150602,0.3485921223958333,0.3502810998671164
gaussian,0.8,384,3.5096510406583548,0.3588053385416667,0.36054380047020346
gaussian,1.0,384,3.4169761864468455,0.3732706705729167,0.3750792190534601
gaussian,1.2,384,3.375787552446127,0.3814493815104167,0.38329755698660944
zero,nan,384,3.579534932039678,0.372802734375,0.37460901563937443
random,nan,384,3.598386410313348,0.3568522135416667,0.3585812123070633
shuffle,nan,384,2.353125630877912,0.6750691731770834,0.6783399775120107
