mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.01923766404172511,0.9954833984375,1.0
gaussian,0.2,384,0.06359692742656382,0.9848836263020834,0.9893521357040671
gaussian,0.3,384,0.22512453050876502,0.9460042317708334,0.9502963417126508
gaussian,0.35,384,0.40073491328318295,0.9026692708333334,0.9067647659922339
gaussian,0.4,384,0.670394342741929,0.8381754557291666,0.8419783363989373
gaussian,0.45,384,1.0365395773357402,0.75994873046875,0.7633966891477622
gaussian,0.5,384,1.453600817359984,0.674072265625,0.6771305947271613
gaussian,0.6,384,2.209766026586294,0.5310872395833334,0.5334968322092786
gaussian,0.7,384,2.654238333925605,0.4620768229166667,0.46417330880850194
gaussian,0.8,384,2.8467245772480965,0.4388020833333333,0.44079296954833436
gaussian,1.0,384,2.9926864712809524,0.4256795247395833,0.42761087267525033
gaussian,1.2,384,3.13492436055094,0.40887451171875,0.4107296137339056
