mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,0.057580057269660756,0.9886474609375,1.0
gaussian,0.01,384,0.058320695644700514,0.988525390625,0.9998765279664156
gaussian,0.02,384,0.05868873455498639,0.98846435546875,0.9998147919496234
gaussian,0.05,384,0.06296059613123361,0.9878946940104166,0.9992385891262295
gaussian,0.1,384,0.07588041325652739,0.9847005208333334,0.9960077375807713
gaussian,0.2,384,0.1528253192397339,0.9657796223958334,0.9768695723751903
gaussian,0.4,384,0.9194036673288792,0.78857421875,0.7976293369551797
gaussian,0.8,384,2.85195853933692,0.4344685872395833,0.4394575461991192
gaussian,1.2,384,2.8840359879347184,0.4381306966145833,0.443161707206651
gaussian,1.6,384,2.8797835265286267,0.4402669270833333,0.4453224677943779
gaussian,2.4,384,2.923517133730153,0.43768310546875,0.4427089764168416
gaussian,3.2,384,2.9702464832613864,0.4344889322916667,0.4394781248713833
zero,nan,384,2.9444637722335756,0.43865966796875,0.4436967526855167
random,nan,384,2.9653557523464165,0.4322916666666667,0.43725562826686426
shuffle,nan,384,2.0788183324038982,0.6486002604166666,0.6560480717784088
