mode,sigma,n_examples,loss,accuracy,relative_accuracy
gaussian,0.0,384,3.0077338158152997,0.44512939453125,1.0
gaussian,0.01,384,3.0081835971213877,0.44537353515625,1.0005484711367065
gaussian,0.02,384,3.0083839466484883,0.4450480143229167,0.9998171762877646
gaussian,0.05,384,3.0079357591457665,0.4451497395833333,1.0000457059280587
gaussian,0.1,384,3.007516155795505,0.4450276692708333,0.9997714703597056
gaussian,0.2,384,3.005398649877558,0.4447224934895833,0.9990858814388226
gaussian,0.4,384,2.997962429188192,0.445068359375,0.9998628822158234
gaussian,0.8,384,2.9716261244999864,0.4451090494791667,0.9999542940719411
gaussian,1.2,384,2.953588599960009,0.44451904296875,0.9986288221582339
gaussian,1.6,384,2.941504052064071,0.44415283203125,0.9978061154531743
gaussian,2.4,384,2.937023020039002,0.4419759114583333,0.9929155811508752
gaussian,3.2,384,2.9594656724172332,0.44195556640625,0.9928698752228164
zero,nan,384,2.9444637722335756,0.43865966796875,0.9854655148772796
random,nan,384,3.0010457226696112,0.443359375,0.9960235842588784
shuffle,nan,384,3.010348786134273,0.4450480143229167,0.9998171762877646
