run,encoder,target,mem,clean_accuracy,sigma_80,sigma_50
gpt2->llama3b,gpt2,llama3b,16,0.908935546875,0.48529027576197387,0.7848672566371682
gpt2->llama3b,gpt2,llama3b,32,0.95318603515625,0.5503363914373088,0.7734322580645161
gpt2->llama3b,gpt2,llama3b,8,0.79742431640625,0.47852449223416965,nan
gpt2->qwen1.5b,gpt2,qwen1.5b,32,0.91021728515625,0.20335348550277602,0.4275531045751634
gpt2->qwen3b,gpt2,qwen3b,16,0.82855224609375,0.2417367427492706,nan
gpt2->qwen3b,gpt2,qwen3b,32,0.938720703125,0.3379037921348314,0.6705742762221167
gpt2->qwen3b,gpt2,qwen3b,8,0.6893310546875,0.23170616113744064,nan
llama1b->llama1b,llama1b,llama1b,32,0.9996337890625,0.47850707290533184,0.6179963643708342
llama1b->llama3b,llama1b,llama3b,16,0.99749755859375,0.5336151530356247,0.71620945134161
llama1b->llama3b,llama1b,llama3b,32,0.9996337890625,0.5633919296843787,0.6917716274444812
llama1b->llama3b,llama1b,llama3b,8,0.95452880859375,0.33828679765598063,0.5918086060062753
llama1b->qwen1.5b,llama1b,qwen1.5b,32,0.99517822265625,0.2490555503861543,0.39017163212435235
llama1b->qwen3b,llama1b,qwen3b,16,0.95599365234375,0.13049781295563423,0.29478211009174315
llama1b->qwen3b,llama1b,qwen3b,32,0.99285888671875,0.2437730870712401,0.3980362338005819
llama1b->qwen3b,llama1b,qwen3b,8,0.90203857421875,0.1222162497415753,0.31402792413066377
llama1b->qwen7b,llama1b,qwen7b,16,0.98907470703125,0.29657084488545155,0.4999523990860625
llama1b->qwen7b,llama1b,qwen7b,32,0.9954833984375,0.42671001300390116,0.648319575471698
llama1b->qwen7b,llama1b,qwen7b,8,0.91082763671875,0.2045780346820809,0.49136271529888553
