compressor,metric,n,pearson,spearman
gpt2:llama1b,diagnostic_rel_magnitude_z_abs_mean,6,-0.6036593626830535,-0.9428571428571428
gpt2:llama1b,diagnostic_target_magnitude_std_mean,6,0.3502747538571296,0.9428571428571428
gpt2:llama1b,diagnostic_target_magnitude_std_min,6,0.35027474826193394,0.9428571428571428
gpt2:llama1b,abs_log_hidden_ratio,6,0.8613326890486711,0.8116794499134278
gpt2:llama1b,prior_target_param_b,6,0.7634649690842943,0.7944613465542745
gpt2:llama1b,prior_log_param_ratio_target_over_source,6,0.782663128307001,0.7944613465542745
gpt2:llama1b,_z_prior_target_param_b,6,0.7634649690842943,0.7944613465542745
gpt2:llama1b,_z_log_param_ratio,6,0.782663128307001,0.7944613465542745
gpt2:llama1b,rel_direction_l1_to_target,6,-0.23160865002949554,-0.7714285714285715
gpt2:llama1b,rel_direction_rmse_to_target,6,-0.2382280762128109,-0.7714285714285715
gpt2:llama1b,capacity_normalized_direction_rmse,6,-0.2988019740941825,-0.7714285714285715
gpt2:llama1b,pair_normalized_direction_rmse,6,-0.2600121635995438,-0.7714285714285715
gpt2:llama1b,target_readability_tail_frac,6,0.17478476483876618,-0.7714285714285715
gpt2:llama1b,_z_neg_direction_rmse,6,0.23822807621281086,0.7714285714285715
gpt2:llama1b,_z_neg_pair_norm_direction_rmse,6,0.26001216359954377,0.7714285714285715
gpt2:llama1b,_z_neg_target_readability_tail,6,-0.17478476483876618,0.7714285714285715
gpt2:llama1b,combined_hidden_source_quality_score,6,0.9010289083042112,0.7714285714285715
gpt2:llama1b,target_hidden_size,6,0.9034494297564761,0.753702346348183
gpt2:llama1b,_z_target_hidden_size,6,0.9034494297564761,0.753702346348183
gpt2:llama1b,memory_target_norm_gap,6,0.44506159291087277,0.7142857142857143
gpt2:llama1b,target_direction_subspace_residual,6,0.7007245096726357,0.7142857142857143
gpt2:llama1b,diagnostic_rel_direction_z2_mean,6,-0.04109145863476283,-0.7142857142857143
gpt2:llama1b,target_readability_z2_mean,6,-0.03999753944580345,-0.7142857142857143
gpt2:llama1b,_z_neg_subspace_residual,6,-0.7007245096726357,-0.7142857142857143
gpt2:llama1b,_z_neg_target_readability_z2,6,0.039997539445803455,0.7142857142857143
gpt2:llama1b,combined_param_direction_score,6,0.513642410496906,0.7142857142857143
gpt2:llama1b,combined_ratio_direction_score,6,0.4516703060009724,0.7142857142857143
gpt2:llama1b,pair_geometry_compatibility_score,6,0.05507071037494971,0.7142857142857143
gpt2:llama1b,combined_hidden_direction_score,6,0.6508564924669633,0.6571428571428571
gpt2:llama1b,combined_hidden_js_score,6,0.6542061276865307,0.6571428571428571
gpt2:llama1b,anchor_direction_js_to_target,6,-0.24367966347212539,-0.6
gpt2:llama1b,diagnostic_target_direction_std_mean,6,-0.3840222897675806,-0.6
gpt2:llama1b,target_readability_cross_entropy,6,-0.2472583936928234,-0.6
gpt2:llama1b,source_to_target_anchor_kl,6,-0.2500355085191245,-0.6
gpt2:llama1b,source_target_direction_dispersion_gap,6,-0.4341327217524775,-0.6
gpt2:llama1b,diagnostic_target_direction_entropy,6,0.1767647150407521,0.6
gpt2:llama1b,_z_neg_anchor_js,6,0.2436796634721254,0.6
gpt2:llama1b,_z_neg_target_readability_ce,6,0.2472583936928234,0.6
gpt2:llama1b,_z_neg_source_to_target_kl,6,0.2500355085191245,0.6
gpt2:llama1b,_z_neg_direction_dispersion_gap,6,0.43413272175247747,0.6
gpt2:llama1b,target_readability_energy,6,0.4880192075144168,0.5428571428571428
gpt2:llama1b,_z_target_readability_energy,6,0.4880192075144168,0.5428571428571428
gpt2:llama1b,rel_magnitude_l1_to_target,6,0.04027733741514111,0.42857142857142855
gpt2:llama1b,rel_magnitude_rmse_to_target,6,0.12096790778688021,0.42857142857142855
gpt2:llama1b,source_native_nll,6,0.7924016824833977,0.42857142857142855
gpt2:llama1b,_z_neg_magnitude_rmse,6,-0.12096790778688096,-0.42857142857142855
gpt2:llama1b,_z_neg_source_native_nll,6,-0.7924016824833977,-0.42857142857142855
gpt2:llama1b,prior_param_tier_jump,6,0.5871597710701643,0.3927922024247863
gpt2:llama1b,target_text_nll,6,-0.2363290733724802,-0.37142857142857144
