metric,n_compressors,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_compressors,negative_spearman_compressors
combined_hidden_source_quality_score,14,0.8207936508224255,0.833815074539928,0.7970824159799781,0.7770597347796884,0.7970824159799781,14,0
target_hidden_size,14,0.8204231017878029,0.8335716097286636,0.7778046493947361,0.7681966222394943,0.7778046493947361,14,0
_z_target_hidden_size,14,0.8204231017878029,0.8335716097286636,0.7778046493947361,0.7681966222394943,0.7778046493947361,14,0
prior_target_param_b,14,0.6349084472066862,0.648800372984103,0.6322689114216093,0.6767633692869746,0.6322689114216093,14,0
prior_log_param_ratio_target_over_source,14,0.5879881874562914,0.5411879084137499,0.6322689114216093,0.6767633692869746,0.6322689114216093,14,0
_z_prior_target_param_b,14,0.6349084472066862,0.648800372984103,0.6322689114216093,0.6767633692869746,0.6322689114216093,14,0
_z_log_param_ratio,14,0.5879881874562914,0.5411879084137501,0.6322689114216093,0.6767633692869746,0.6322689114216093,14,0
combined_hidden_js_score,14,0.642005379510299,0.6865010116687623,0.6204081632653061,0.6285714285714286,0.6204081632653061,14,0
diagnostic_target_direction_std_min,14,-0.4759204395144931,-0.4215077618450818,-0.5714285714285714,-0.6285714285714286,0.5714285714285714,0,14
diagnostic_target_direction_std_mean,14,-0.4648295157109648,-0.4854542917251343,-0.560204081632653,-0.6,0.560204081632653,0,14
source_target_direction_dispersion_gap,14,-0.46465325096329396,-0.48028440402882583,-0.560204081632653,-0.6,0.560204081632653,0,14
_z_neg_direction_dispersion_gap,14,0.46465325096329396,0.4802844040288258,0.560204081632653,0.6,0.560204081632653,14,0
memory_target_norm_gap,14,0.4853254807991328,0.4844565525659376,0.5561224489795918,0.6,0.5561224489795918,14,0
combined_hidden_direction_score,14,0.5882629804586965,0.6344001588212036,0.5510204081632654,0.6,0.5551020408163265,13,1
combined_ratio_direction_score,14,0.3845380781206799,0.4279380200749894,0.4540816326530613,0.4928571428571429,0.4785714285714286,12,2
diagnostic_rel_magnitude_z_abs_mean,14,-0.27107452247834096,-0.3644317715718156,-0.4540816326530612,-0.6,0.6051020408163266,3,11
diagnostic_target_magnitude_std_mean,14,0.2209195445251729,0.3658974277779041,0.4540816326530612,0.6,0.6051020408163266,11,3
diagnostic_target_magnitude_std_min,14,0.2209195493097992,0.36589744061721696,0.4540816326530612,0.6,0.6051020408163266,11,3
combined_param_direction_score,14,0.44831134570933673,0.5006052531213572,0.4418367346938776,0.4928571428571429,0.4826530612244898,12,2
source_to_target_anchor_kl,14,-0.3575602532567828,-0.3966628120232465,-0.39285714285714285,-0.4928571428571429,0.45,2,12
_z_neg_source_to_target_kl,14,0.3575602532567828,0.3966628120232465,0.39285714285714285,0.4928571428571429,0.45,12,2
target_magnitude_tail_frac,3,-0.4054931618427305,-0.5375995544035251,-0.3927922024247863,-0.6546536707079772,0.4800793585191833,1,2
_z_neg_target_magnitude_tail,3,0.4054931618427306,0.5375995544035252,0.3927922024247863,0.6546536707079772,0.4800793585191833,2,1
anchor_direction_js_to_target,14,-0.36446290033293743,-0.39083865881637425,-0.38469387755102036,-0.4928571428571429,0.4418367346938776,2,12
_z_neg_anchor_js,14,0.36446290033293743,0.3908386588163743,0.38469387755102036,0.4928571428571429,0.4418367346938776,12,2
target_readability_cross_entropy,14,-0.3617786531425978,-0.40524644816690397,-0.38061224489795914,-0.4928571428571429,0.4459183673469388,2,12
diagnostic_target_direction_entropy,14,0.35222442587708447,0.38352952654378886,0.38061224489795914,0.4928571428571429,0.4459183673469388,12,2
_z_neg_target_readability_ce,14,0.3617786531425978,0.4052464481669039,0.38061224489795914,0.4928571428571429,0.4459183673469388,12,2
capacity_normalized_direction_rmse,14,-0.2631709527645189,-0.31461894814882363,-0.376530612244898,-0.4357142857142857,0.42959183673469387,3,11
rel_direction_l1_to_target,14,-0.2000686704353478,-0.25444178262815326,-0.37244897959183676,-0.4357142857142857,0.42551020408163265,3,11
target_direction_subspace_residual,14,0.5949495929301634,0.6573820802685466,0.36836734693877554,0.4642857142857143,0.4214285714285714,11,3
_z_neg_subspace_residual,14,-0.5949495929301634,-0.6573820802685466,-0.36836734693877554,-0.4642857142857143,0.4214285714285714,3,11
rel_direction_rmse_to_target,14,-0.21345843115612767,-0.28023614895357274,-0.36428571428571427,-0.4357142857142857,0.41734693877551016,3,11
pair_normalized_direction_rmse,14,-0.2067509539171613,-0.27131201905540103,-0.36428571428571427,-0.4357142857142857,0.4336734693877551,3,11
_z_neg_direction_rmse,14,0.21345843115612767,0.28023614895357274,0.36428571428571427,0.4357142857142857,0.41734693877551016,11,3
_z_neg_pair_norm_direction_rmse,14,0.2067509539171613,0.27131201905540103,0.36428571428571427,0.4357142857142857,0.4336734693877551,11,3
source_target_direction_entropy_gap,14,-0.1588522330112727,-0.07879837571282758,-0.31428571428571433,-0.4,0.3836734693877551,3,11
_z_neg_direction_entropy_gap,14,0.1588522330112727,0.07879837571282758,0.31428571428571433,0.4,0.3836734693877551,11,3
target_text_nll,14,-0.19639575693546463,-0.14752492159125077,-0.2887755102040816,-0.2785714285714286,0.3255102040816326,1,13
target_minus_source_nll,14,-0.19615197929521047,-0.143054101178875,-0.2887755102040816,-0.2785714285714286,0.3255102040816326,1,13
target_readability_tail_frac,14,0.1350487431889457,0.13002858961725258,-0.24430946353233393,-0.4,0.48018033238603347,3,11
_z_neg_target_readability_tail,14,-0.13504874318894572,-0.13002858961725258,0.24430946353233393,0.4,0.48018033238603347,11,3
pair_geometry_compatibility_score,14,0.06870495040282144,0.04920172644345245,0.22959183673469388,0.2857142857142857,0.3479591836734694,9,5
rel_magnitude_rmse_to_target,14,0.1350137032054721,0.17412308052946718,0.14081632653061224,0.14285714285714285,0.3857142857142857,9,4
_z_neg_magnitude_rmse,14,-0.1350137032054721,-0.17412308052946757,-0.14081632653061224,-0.14285714285714285,0.3857142857142857,4,9
diagnostic_rel_direction_z2_mean,14,0.14610620920822245,0.06812678825055592,-0.12959183673469385,-0.2785714285714286,0.39897959183673465,4,10
target_readability_z2_mean,14,0.14574185223313083,0.06466431928839671,-0.12959183673469385,-0.2785714285714286,0.39897959183673465,4,10
_z_neg_target_readability_z2,14,-0.14574185223313083,-0.06466431928839673,0.12959183673469385,0.2785714285714286,0.39897959183673465,10,4
diagnostic_source_direction_entropy_mean,14,0.1189877216413623,0.1915900692801136,0.11808305729852539,0.04629100498862758,0.32654711021947513,9,5
diagnostic_source_direction_std_mean,14,-0.08314756625125382,-0.0008006251358999624,-0.11197040140675178,-0.025649458802128853,0.3524255896912937,6,7
source_native_nll,7,0.03466086266505465,-0.1004520216361552,-0.08571428571428572,-0.08571428571428572,0.4040816326530612,3,4
_z_neg_source_native_nll,7,-0.0346608626650549,0.10045202163615517,0.08571428571428572,0.08571428571428572,0.4040816326530612,4,3
abs_log_hidden_ratio,14,-0.07879116673634874,-0.6673669129777644,-0.08352751198853602,-0.5942653115437596,0.7975567312450398,6,8
