metric,n_targets,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_targets,negative_spearman_targets
prior_same_model_family,6,0.47427134825993855,0.4890549011498994,0.5249025531825761,0.5376961343241486,0.5249025531825761,6,0
prior_cross_model_family,6,-0.47427134825993855,-0.48905490114989936,-0.5249025531825761,-0.5376961343241486,0.5249025531825761,0,6
diagnostic_rel_magnitude_z_abs_mean,7,-0.2899035972363347,-0.5327785044168875,-0.3451548451548452,-0.34265734265734266,0.3451548451548452,0,7
diagnostic_target_direction_std_min,7,0.20461992158580275,0.2536106719579959,0.316321799744358,0.23094010767585033,0.316321799744358,7,0
source_target_direction_entropy_gap,7,0.34658782470539856,0.410170929446115,0.2927072927072927,0.45454545454545453,0.3966033966033966,6,1
_z_neg_direction_entropy_gap,7,-0.34658782470539856,-0.41017092944611494,-0.2927072927072927,-0.45454545454545453,0.3966033966033966,1,6
rel_magnitude_rmse_to_target,7,-0.33654800254052064,-0.5431646483968513,-0.28001998001998,-0.4636363636363636,0.34995004995004997,2,5
_z_neg_magnitude_rmse,7,0.33654800254052064,0.5431646483968514,0.28001998001998,0.4636363636363636,0.34995004995004997,5,2
rel_magnitude_l1_to_target,7,-0.3426047736333761,-0.5429532934451797,-0.27902097902097905,-0.4636363636363636,0.34895104895104895,2,5
target_magnitude_tail_frac,1,-0.15630886737749575,-0.15630886737749575,-0.21968621277986813,-0.21968621277986813,0.21968621277986813,0,1
_z_neg_target_magnitude_tail,1,0.15630886737749575,0.15630886737749575,0.21968621277986813,0.21968621277986813,0.21968621277986813,1,0
anchor_direction_js_to_target,7,0.2603575894394458,0.3440343240460955,0.1992007992007992,0.1888111888111888,0.34505494505494505,5,2
_z_neg_anchor_js,7,-0.26035758943944576,-0.34403432404609546,-0.1992007992007992,-0.1888111888111888,0.34505494505494505,2,5
combined_hidden_js_score,7,-0.26035758943944576,-0.3440343240460955,-0.1992007992007992,-0.1888111888111888,0.34505494505494505,2,5
source_to_target_anchor_kl,7,0.24473087879427816,0.33932423743995277,0.1962037962037962,0.1888111888111888,0.348051948051948,5,2
_z_neg_source_to_target_kl,7,-0.2447308787942782,-0.3393242374399529,-0.1962037962037962,-0.1888111888111888,0.348051948051948,2,5
prior_param_tier_jump,5,0.19138045172442003,0.21459396746925002,0.19540485769307833,0.30725493389951347,0.32143545809255386,3,2
diagnostic_target_magnitude_std_mean,7,0.09478533624034248,0.11819016010099219,0.1870241705935341,0.09011609926488051,0.22284672085937193,5,2
diagnostic_target_magnitude_std_min,7,0.09478538629530105,0.11819016010099219,0.1870241705935341,0.09011609926488051,0.22284672085937193,5,2
prior_source_param_b,7,-0.21112025407129464,-0.23627871541981196,-0.1869041492298527,-0.28386354538174535,0.2401723258066604,2,4
prior_log_param_ratio_target_over_source,7,0.1838065793457311,0.14079264856038806,0.1869041492298527,0.28386354538174535,0.2401723258066604,4,2
_z_log_param_ratio,7,0.1838065793457311,0.1407926485603881,0.1869041492298527,0.28386354538174535,0.2401723258066604,4,2
diagnostic_target_direction_std_mean,7,0.14657074445418145,0.3348267112610453,0.14041312835251643,0.36642288993147554,0.48682152381139676,5,2
target_readability_z2_mean,7,0.16251053850747563,0.07805165201569893,0.13316683316683317,0.00909090909090909,0.20909090909090908,4,3
_z_neg_target_readability_z2,7,-0.16251053850747565,-0.07805165201569894,-0.13316683316683317,-0.00909090909090909,0.20909090909090908,3,4
diagnostic_source_direction_entropy_mean,7,-0.10738930931669362,-0.21330686276198849,-0.13286713286713286,-0.006993006993006993,0.2927072927072927,3,4
source_hidden_size,7,-0.18440015615031177,-0.33723409032663765,-0.12470522699750611,-0.0788778768541191,0.2976342934144792,3,4
diagnostic_rel_direction_z2_mean,7,0.1617023606907306,0.08041702254271499,0.12017982017982018,-0.02097902097902098,0.21948051948051947,3,4
pair_geometry_compatibility_score,7,5.4781991151431046e-05,0.0715424671567924,0.1008991008991009,0.23776223776223776,0.33666333666333664,5,1
