task,group,metric,n,top1_hit,regret_at_1,spearman,best_retention,prior_pick_retention
T1_select_source,llama1b,rel_direction_l1_to_target,12,0,0.12235165676063309,0.04895104895104895,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,rel_direction_rmse_to_target,12,0,0.12235165676063309,-0.013986013986013986,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,rel_magnitude_l1_to_target,12,0,0.034036015388269725,0.5034965034965035,0.6835180305382089,0.6494820151499392
T1_select_source,llama1b,rel_magnitude_rmse_to_target,12,0,0.034036015388269725,0.5524475524475524,0.6835180305382089,0.6494820151499392
T1_select_source,llama1b,memory_target_norm_gap,12,0,0.12235165676063309,0.32867132867132864,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,anchor_direction_js_to_target,12,0,0.12235165676063309,-0.14685314685314685,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,target_direction_subspace_residual,12,0,0.06534686286878477,0.38461538461538464,0.6835180305382089,0.6181711676694241
T1_select_source,llama1b,capacity_normalized_direction_rmse,12,0,0.12235165676063309,-0.013986013986013986,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,diagnostic_rel_direction_z2_mean,12,0,0.12235165676063309,0.13986013986013987,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,diagnostic_rel_magnitude_z_abs_mean,12,0,0.034036015388269725,0.5104895104895105,0.6835180305382089,0.6494820151499392
T1_select_source,llama1b,diagnostic_target_direction_std_mean,12,0,0.06534686286878477,0.42054179656944235,0.6835180305382089,0.6181711676694241
T1_select_source,llama1b,diagnostic_target_direction_std_min,12,0,0.034036015388269725,0.5707352953442433,0.6835180305382089,0.6494820151499392
T1_select_source,llama1b,diagnostic_target_magnitude_std_mean,12,0,0.12235165676063309,0.06007739950992034,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,diagnostic_target_magnitude_std_min,12,0,0.12235165676063309,0.06007739950992034,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,source_native_nll,12,0,0.23312998592210238,-0.13986013986013987,0.6835180305382089,0.45038804461610654
T1_select_source,llama1b,target_minus_source_nll,12,0,0.07991102382822013,0.13986013986013987,0.6835180305382089,0.6036070067099888
T1_select_source,llama1b,source_hidden_size,12,0,0.06534686286878477,0.05736572862117752,0.6835180305382089,0.6181711676694241
T1_select_source,llama1b,abs_log_hidden_ratio,12,0,0.6256920522795213,-0.20078005017412132,0.6835180305382089,0.05782597825868768
T1_select_source,llama1b,prior_same_model_family,12,0,0.034036015388269725,0.5120915564991891,0.6835180305382089,0.6494820151499392
T1_select_source,llama1b,prior_cross_model_family,12,0,0.12235165676063309,-0.5120915564991891,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,prior_source_param_b,12,0,0.06534686286878477,0.0,0.6835180305382089,0.6181711676694241
T1_select_source,llama1b,prior_log_param_ratio_target_over_source,12,0,0.07991102382822013,0.0,0.6835180305382089,0.6036070067099888
T1_select_source,llama1b,pair_normalized_direction_rmse,12,0,0.12235165676063309,0.06293706293706294,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,target_readability_z2_mean,12,0,0.12235165676063309,0.13986013986013987,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,target_readability_tail_frac,12,0,0.12235165676063309,0.11188811188811189,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,target_readability_cross_entropy,12,0,0.07991102382822013,-0.13286713286713286,0.6835180305382089,0.6036070067099888
T1_select_source,llama1b,source_to_target_anchor_kl,12,0,0.12235165676063309,-0.14685314685314685,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,target_readability_energy,12,0,0.07991102382822013,0.26573426573426573,0.6835180305382089,0.6036070067099888
T1_select_source,llama1b,source_target_top_anchor_overlap,12,0,0.07991102382822013,0.32167832167832167,0.6835180305382089,0.6036070067099888
T1_select_source,llama1b,source_target_direction_entropy_gap,12,0,0.5511087848488131,-0.4755244755244755,0.6835180305382089,0.13240924568939585
T1_select_source,llama1b,source_target_direction_dispersion_gap,12,0,0.07991102382822013,-0.006993006993006993,0.6835180305382089,0.6036070067099888
T1_select_source,llama1b,diagnostic_source_direction_entropy_mean,12,0,0.12235165676063309,0.055944055944055944,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,diagnostic_target_direction_entropy,12,0,0.12235165676063309,-0.42054179656944235,0.6835180305382089,0.5611663737775758
T1_select_source,llama1b,diagnostic_source_direction_std_mean,12,0,0.07991102382822013,0.1258741258741259,0.6835180305382089,0.6036070067099888
