metric,n,pearson,spearman
target_hidden_size,83,0.7566479166192353,0.7368765883938045
_z_target_hidden_size,83,0.7566479166192353,0.7368765883938045
combined_hidden_source_quality_score,83,0.5781776927314982,0.6213016517964172
prior_target_param_b,83,0.5947621869387443,0.5920127994818021
_z_prior_target_param_b,83,0.5947621869387443,0.5920127994818021
combined_hidden_js_score,83,0.5766949432182223,0.5414550186809958
combined_hidden_direction_score,83,0.5358835397683372,0.5018680995760043
prior_log_param_ratio_target_over_source,83,0.41379361934294534,0.4942594997181181
_z_log_param_ratio,83,0.4137936193429454,0.4942594997181181
diagnostic_target_direction_std_min,83,-0.3187530292756657,-0.47057042901155544
target_direction_subspace_residual,83,0.610641450579507,0.46799042861340834
_z_neg_subspace_residual,83,-0.610641450579507,-0.46799042861340834
combined_ratio_direction_score,83,0.3456245860964815,0.461819403047731
diagnostic_target_direction_entropy,83,0.315305110838018,0.45043241084173924
target_readability_cross_entropy,83,-0.28510744919536535,-0.44496452709793877
_z_neg_target_readability_ce,83,0.28510744919536535,0.44496452709793877
combined_param_direction_score,83,0.4158666832626363,0.43056546744469165
diagnostic_target_direction_std_mean,83,-0.3857042316324831,-0.42951286972955055
diagnostic_target_magnitude_std_mean,83,0.29059402771213655,0.4287559818099136
diagnostic_target_magnitude_std_min,83,0.2905940270112368,0.4287559818099136
capacity_normalized_direction_rmse,83,-0.23718180031440744,-0.4286134083371815
source_to_target_anchor_kl,83,-0.27347921015282106,-0.4201334956550942
_z_neg_source_to_target_kl,83,0.273479210152821,0.4201334956550942
anchor_direction_js_to_target,83,-0.28531760523740934,-0.4179505478359431
_z_neg_anchor_js,83,0.2853176052374094,0.4179505478359431
rel_direction_rmse_to_target,83,-0.19567221249570085,-0.41591452919692706
_z_neg_direction_rmse,83,0.19567221249570083,0.41591452919692706
rel_direction_l1_to_target,83,-0.18548785932855336,-0.4130179253599765
pair_normalized_direction_rmse,83,-0.19669958294585213,-0.40770748499223375
_z_neg_pair_norm_direction_rmse,83,0.19669958294585213,0.40770748499223375
memory_target_norm_gap,83,0.3379255326257047,0.34049788002182946
diagnostic_rel_magnitude_z_abs_mean,83,-0.29482825806622903,-0.3033457873305067
target_text_nll,83,-0.16113520643773668,-0.27851460568384667
target_magnitude_tail_frac,83,-0.15618989939693104,-0.26674244692588606
_z_neg_target_magnitude_tail,83,0.15618989939693104,0.26674244692588606
pair_geometry_compatibility_score,83,0.07851943980913377,0.25351580538180596
target_readability_tail_frac,83,0.1223382616665697,-0.21383636502918313
_z_neg_target_readability_tail,83,-0.12233826166656966,0.21383636502918313
source_target_direction_entropy_gap,83,-0.07830715703501497,-0.18903488518534067
_z_neg_direction_entropy_gap,83,0.07830715703501497,0.18903488518534067
source_hidden_size,83,-0.12458552698649797,-0.1613481487631338
diagnostic_source_direction_entropy_mean,83,-0.07351420680954539,-0.14423173771168563
prior_source_param_b,83,-0.12696126609332412,-0.14288687192867242
source_target_direction_dispersion_gap,83,-0.12411378496568282,-0.1390369841736283
_z_neg_direction_dispersion_gap,83,0.12411378496568282,0.1390369841736283
abs_log_hidden_ratio,83,-0.14362891263351543,-0.1352359779397403
prior_param_tier_jump,83,0.07385093696112226,0.1328786868495372
rel_magnitude_l1_to_target,83,-0.09997699241417883,-0.11716552621636371
target_readability_energy,83,-0.08943471844745511,0.11569623441501196
_z_target_readability_energy,83,-0.0894347184474551,0.11569623441501196
rel_magnitude_rmse_to_target,83,-0.10241095062631121,-0.1135132865958608
_z_neg_magnitude_rmse,83,0.1024109506263112,0.1135132865958608
source_native_nll,83,-0.028599740652220134,-0.1079869232955407
_z_neg_source_native_nll,83,0.028599740652220144,0.1079869232955407
target_minus_source_nll,83,-0.07488174357842863,-0.09615465345703371
target_readability_z2_mean,83,0.1892389868545984,-0.09292221149405987
_z_neg_target_readability_z2,83,-0.18923898685459836,0.09292221149405987
diagnostic_rel_direction_z2_mean,83,0.18928090680944964,-0.09151588934133748
prior_same_model_family,83,0.006425930405818726,0.06322477359003924
prior_cross_model_family,83,-0.006425930405818724,-0.06322477359003924
source_target_top_anchor_overlap,83,-0.024613003024243824,-0.020192267327148315
_z_top_anchor_overlap,83,-0.024613003024243824,-0.020192267327148315
diagnostic_source_direction_std_mean,83,-0.0018917878663630419,-0.019590655304265934
