metric,n,controls,pearson_residual,spearman_residual
source_native_nll,83,target,-0.24011027796215895,-0.4040552453717308
target_minus_source_nll,83,target,0.24011027796215895,0.4040552453717308
_z_neg_source_native_nll,83,target,0.24011027796215892,0.4040552453717308
combined_hidden_source_quality_score,83,target,0.24011027796215892,0.4040552453717308
source_target_direction_entropy_gap,83,target,0.1370451991740721,0.23309264934301666
_z_neg_direction_entropy_gap,83,target,-0.1370451991740721,-0.23309264934301666
rel_magnitude_l1_to_target,83,target,-0.26991213317243345,-0.23294572016288148
rel_magnitude_rmse_to_target,83,target,-0.26241515249177094,-0.23078376222660676
_z_neg_magnitude_rmse,83,target,0.262415152491771,0.23078376222660676
prior_same_model_family,83,target,0.18638337509887032,0.18923706470917756
prior_cross_model_family,83,target,-0.18638337509887032,-0.18923706470917756
target_readability_z2_mean,83,target,0.10326893267402194,0.17883380210738425
_z_neg_target_readability_z2,83,target,-0.10326893267402197,-0.17883380210738425
diagnostic_rel_direction_z2_mean,83,target,0.10313724439565665,0.1777633180806851
target_readability_cross_entropy,83,target,0.1553631082882489,0.17394315939717056
_z_neg_target_readability_ce,83,target,-0.1553631082882489,-0.17394315939717056
prior_param_tier_jump,83,target,0.09923971838880057,0.1709782784757623
anchor_direction_js_to_target,83,target,0.0935641660827289,0.16111834095965744
_z_neg_anchor_js,83,target,-0.09356416608272887,-0.16111834095965744
combined_hidden_js_score,83,target,-0.09356416608272888,-0.16111834095965744
source_to_target_anchor_kl,83,target,0.10602821297342778,0.15190378237689434
_z_neg_source_to_target_kl,83,target,-0.10602821297342777,-0.15190378237689434
target_readability_tail_frac,83,target,0.1570486729879526,0.139467028095587
_z_neg_target_readability_tail,83,target,-0.15704867298795264,-0.139467028095587
prior_log_param_ratio_target_over_source,83,target,0.09254383142145796,0.1278060835421375
_z_log_param_ratio,83,target,0.09254383142145797,0.1278060835421375
capacity_normalized_direction_rmse,83,target,0.151103740930784,0.12199319927794802
rel_direction_rmse_to_target,83,target,0.1497598284571963,0.12023004911632593
_z_neg_direction_rmse,83,target,-0.14975982845719626,-0.12023004911632593
combined_hidden_direction_score,83,target,-0.1497598284571963,-0.12023004911632593
combined_param_direction_score,83,target,-0.14975982845719624,-0.12023004911632593
rel_direction_l1_to_target,83,target,0.15485045847751933,0.11025985475001049
prior_source_param_b,83,target,-0.09529676006398394,-0.09572200043848202
diagnostic_target_magnitude_std_mean,83,target,-0.07974566028014794,-0.08938636084268364
diagnostic_target_magnitude_std_min,83,target,-0.07974567509448181,-0.08938636084268364
pair_geometry_compatibility_score,83,target,-0.06328917853585395,-0.08330884513664413
pair_normalized_direction_rmse,83,target,0.09858685832217506,0.08009739305654674
_z_neg_pair_norm_direction_rmse,83,target,-0.09858685832217506,-0.08009739305654674
source_hidden_size,83,target,-0.01598854962693979,-0.071481224746922
diagnostic_target_direction_entropy,83,target,-0.12630860894652177,-0.06884526369031345
memory_target_norm_gap,83,target,0.01172475792119142,0.06511061668275892
diagnostic_target_direction_std_min,83,target,0.08771913247683766,0.06334480617531216
