metric,tier,global_spearman,T1_mean_abs_spearman,T2_mean_abs_spearman
target_readability_cross_entropy,L1_pair_compatibility,-0.27378758732408626,0.2617382617382617,0.33877551020408164
source_to_target_anchor_kl,L1_pair_compatibility,-0.237015288042928,0.24475524475524477,0.34285714285714286
pair_normalized_direction_rmse,L1_pair_compatibility,-0.2310418143160879,0.23576423576423577,0.34285714285714286
source_target_direction_dispersion_gap,L1_pair_compatibility,-0.2075326516148628,0.22577422577422576,0.46530612244897956
target_magnitude_tail_frac,L1_pair_compatibility,-0.17210822216983546,0.361959976488259,0.3273268353539886
pair_geometry_compatibility_score,L1_pair_compatibility,0.17132732611116736,0.22077922077922077,0.39183673469387753
target_readability_tail_frac,L1_pair_compatibility,-0.087165826320794,0.2660339826619782,0.3818857931030456
target_readability_energy,L1_pair_compatibility,0.0864230029361142,0.26873126873126874,0.4530612244897959
source_target_top_anchor_overlap,L1_pair_compatibility,-0.04871924673483851,0.16683316683316685,0.32653061224489793
source_target_direction_entropy_gap,L1_pair_compatibility,-0.025918801255441937,0.2827172827172827,0.33877551020408164
target_readability_z2_mean,L1_pair_compatibility,0.017839424926597146,0.2337662337662338,0.39183673469387753
target_direction_subspace_residual,L1_mechanism,0.29114103472714387,0.16183816183816185,0.34285714285714286
capacity_normalized_direction_rmse,L1_mechanism,-0.25817555938037867,0.26973026973026976,0.35102040816326535
rel_direction_rmse_to_target,L1_mechanism,-0.2397286625493571,0.26973026973026976,0.33877551020408164
rel_direction_l1_to_target,L1_mechanism,-0.23851371874050825,0.22977022977022976,0.33877551020408164
anchor_direction_js_to_target,L1_mechanism,-0.22919914953933382,0.26373626373626374,0.3469387755102041
rel_magnitude_l1_to_target,L1_mechanism,-0.04199655765920826,0.36563436563436563,0.4857142857142857
rel_magnitude_rmse_to_target,L1_mechanism,-0.034463906044345446,0.3716283716283716,0.4979591836734694
target_minus_source_nll,L2_text,-0.10669231548040903,0.5184815184815185,0.20408163265306123
target_text_nll,L2_text,-0.0986867587543179,,0.20408163265306123
source_native_nll,L2_text,0.030958740512648603,0.5184815184815185,0.37142857142857144
prior_log_param_ratio_target_over_source,L3_discrete,0.4973989928767811,0.28420998982318985,0.5457696095098817
prior_param_tier_jump,L3_discrete,0.21168323010892726,0.36195694947851476,0.47687788465510245
prior_same_model_family,L3_discrete,0.1934554059570917,0.4523475415742837,0.5865557254410011
combined_hidden_source_quality_score,L4_composite,0.5287399389147871,0.5184815184815185,0.697654063990213
combined_hidden_direction_score,L4_composite,0.4446086868482333,0.26973026973026976,0.473469387755102
combined_hidden_js_score,L4_composite,0.4335526981877088,0.26373626373626374,0.5795918367346938
combined_ratio_direction_score,L4_composite,0.3818973372481523,0.24875124875124874,0.43265306122448977
combined_param_direction_score,L4_composite,0.34285714285714286,0.26973026973026976,0.4244897959183674
_z_target_hidden_size,L0_baseline,0.6662345935031607,,0.7152639965700217
target_hidden_size,L0_baseline,0.6662345935031607,,0.7152639965700217
_z_prior_target_param_b,L0_baseline,0.5597370562302353,,0.5457696095098817
prior_target_param_b,L0_baseline,0.5597370562302353,,0.5457696095098817
diagnostic_target_direction_std_min,other,-0.5821923716598472,0.3130112857437811,0.6122448979591837
_z_log_param_ratio,other,0.4973989928767811,0.28420998982318985,0.5457696095098817
diagnostic_target_magnitude_std_mean,other,0.4760617181760684,0.3100950552278981,0.563265306122449
diagnostic_target_magnitude_std_min,other,0.4760617181760684,0.3100950552278981,0.563265306122449
diagnostic_target_direction_std_mean,other,-0.3660874249652703,0.3491418472608435,0.5020408163265306
_z_neg_subspace_residual,other,-0.29114103472714387,0.16183816183816185,0.34285714285714286
diagnostic_rel_magnitude_z_abs_mean,other,-0.28794168269717524,0.3296703296703297,0.563265306122449
_z_neg_target_readability_ce,other,0.27378758732408626,0.2617382617382617,0.33877551020408164
diagnostic_target_direction_entropy,other,0.2736781885454259,0.25753612477797466,0.39999999999999997
_z_neg_direction_rmse,other,0.2397286625493571,0.26973026973026976,0.33877551020408164
