metric,n,pearson,spearman
target_hidden_size,84,0.7012099662251595,0.6662345935031607
_z_target_hidden_size,84,0.7012099662251596,0.6662345935031607
diagnostic_target_direction_std_min,84,-0.2969318128670598,-0.5821923716598472
prior_target_param_b,84,0.5247225914676462,0.5597370562302353
_z_prior_target_param_b,84,0.5247225914676461,0.5597370562302353
combined_hidden_source_quality_score,84,0.4675533220696588,0.5287399389147871
prior_log_param_ratio_target_over_source,84,0.355770568819462,0.4973989928767811
_z_log_param_ratio,84,0.35577056881946206,0.4973989928767811
diagnostic_target_magnitude_std_mean,84,0.2594741435023246,0.4760617181760684
diagnostic_target_magnitude_std_min,84,0.25947414699255733,0.4760617181760684
combined_hidden_direction_score,84,0.4680570810648701,0.4446086868482333
combined_hidden_js_score,84,0.4890326479840005,0.4335526981877088
combined_ratio_direction_score,84,0.27571966505471995,0.3818973372481523
diagnostic_target_direction_std_mean,84,-0.3344419824755206,-0.3660874249652703
combined_param_direction_score,84,0.3447336621487729,0.34285714285714286
target_direction_subspace_residual,84,0.4963615564977009,0.29114103472714387
_z_neg_subspace_residual,84,-0.496361556497701,-0.29114103472714387
diagnostic_rel_magnitude_z_abs_mean,84,-0.2537731200076631,-0.28794168269717524
target_readability_cross_entropy,84,-0.2050403545647282,-0.27378758732408626
_z_neg_target_readability_ce,84,0.20504035456472822,0.27378758732408626
diagnostic_target_direction_entropy,84,0.1888152653120989,0.2736781885454259
capacity_normalized_direction_rmse,84,-0.16992654548468522,-0.25817555938037867
rel_direction_rmse_to_target,84,-0.13029954715010394,-0.2397286625493571
_z_neg_direction_rmse,84,0.13029954715010397,0.2397286625493571
rel_direction_l1_to_target,84,-0.12205896159521192,-0.23851371874050825
source_to_target_anchor_kl,84,-0.18367061085371958,-0.237015288042928
_z_neg_source_to_target_kl,84,0.18367061085371958,0.237015288042928
prior_source_param_b,84,-0.09779129042066201,-0.23174464096714073
pair_normalized_direction_rmse,84,-0.12809514356835003,-0.2310418143160879
_z_neg_pair_norm_direction_rmse,84,0.12809514356835,0.2310418143160879
anchor_direction_js_to_target,84,-0.18459364504874753,-0.22919914953933382
_z_neg_anchor_js,84,0.1845936450487476,0.22919914953933382
source_hidden_size,84,-0.1296227848811906,-0.21599500517325737
memory_target_norm_gap,84,0.3039817790936533,0.21478181634099422
prior_param_tier_jump,84,0.06200033960440007,0.21168323010892726
source_target_direction_dispersion_gap,84,-0.11689074510984827,-0.2075326516148628
_z_neg_direction_dispersion_gap,84,0.11689074510984827,0.2075326516148628
prior_same_model_family,84,0.10527900734620214,0.1934554059570917
prior_cross_model_family,84,-0.10527900734620214,-0.1934554059570917
target_magnitude_tail_frac,84,-0.10361655189282498,-0.17210822216983546
_z_neg_target_magnitude_tail,84,0.103616551892825,0.17210822216983546
pair_geometry_compatibility_score,84,0.01916700414822926,0.17132732611116736
diagnostic_source_direction_entropy_mean,84,-0.12624264209045402,-0.15219682175219554
target_minus_source_nll,84,-0.10930525699051608,-0.10669231548040903
target_text_nll,84,-0.09338743890579272,-0.0986867587543179
target_readability_tail_frac,84,0.15768280670920873,-0.087165826320794
_z_neg_target_readability_tail,84,-0.15768280670920876,0.087165826320794
target_readability_energy,84,-0.005010127702789175,0.0864230029361142
_z_target_readability_energy,84,-0.00501012770278917,0.0864230029361142
abs_log_hidden_ratio,84,-0.08685923633809622,-0.049991127633919066
source_target_top_anchor_overlap,84,0.03779851711652034,-0.04871924673483851
_z_top_anchor_overlap,84,0.03779851711652036,-0.04871924673483851
rel_magnitude_l1_to_target,84,0.04268518744851016,-0.04199655765920826
rel_magnitude_rmse_to_target,84,0.0406022385922781,-0.034463906044345446
_z_neg_magnitude_rmse,84,-0.04060223859227812,0.034463906044345446
source_native_nll,84,0.059126223775517156,0.030958740512648603
_z_neg_source_native_nll,84,-0.05912622377551716,-0.030958740512648603
diagnostic_source_direction_std_mean,84,-0.05313162079703848,0.030658133988413914
source_target_direction_entropy_gap,84,0.04841302853605571,-0.025918801255441937
_z_neg_direction_entropy_gap,84,-0.04841302853605571,0.025918801255441937
diagnostic_rel_direction_z2_mean,84,0.16708110186341074,0.01785967399007796
target_readability_z2_mean,84,0.16695752666976346,0.017839424926597146
_z_neg_target_readability_z2,84,-0.16695752666976346,-0.017839424926597146
