pair,encoder,source,target,mem_tokens,method,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,32,converter_only,0.60671,0.585622,0.942898,0.965242043150764
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,32,converter_only,0.622234,0.612295,0.96343,0.9840269094906419
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,32,converter_only,0.63911,0.592168,0.974945,0.9265509849634649
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,32,converter_only,0.330527,0.082863,0.609695,0.2506996402714453
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,32,converter_only,0.800264,0.01345,0.462367,0.01680695370527726
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,32,converter_only,0.743356,0.74671,0.918492,1.0045119700385818
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,32,converter_only,0.609014,0.473787,0.897734,0.7779574853780044
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,32,converter_only,0.622234,0.591562,0.957273,0.9507066473384612
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,32,converter_only,0.63911,0.561267,0.96607,0.8782009356761746
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,32,converter_only,0.330527,0.058813,0.563227,0.1779370520411343
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,32,converter_only,0.800264,0.231354,0.721219,0.28909709795767397
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,32,converter_only,0.743356,0.686665,0.908258,0.9237364062441145
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,32,converter_only,0.609014,0.443168,0.883516,0.7276811370510365
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,32,converter_only,0.60671,0.559948,0.927727,0.9229252855565262
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,32,converter_only,0.63911,0.575568,0.955906,0.9005773653987577
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,32,converter_only,0.330527,0.047021,0.553148,0.14226069277245126
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,32,converter_only,0.800264,0.002073,0.449703,0.0025903951695940342
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,32,converter_only,0.743356,0.669306,0.900031,0.9003842035310133
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,32,converter_only,0.609014,0.501752,0.870258,0.8238759700105415
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,32,converter_only,0.60671,0.582629,0.910852,0.9603088790361127
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,32,converter_only,0.622234,0.610772,0.928453,0.981579277249395
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,32,converter_only,0.330527,0.16705,0.670852,0.5054050047348628
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,32,converter_only,0.800264,0.132998,0.636844,0.1661926564233803
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,32,converter_only,0.743356,0.69477,0.89393,0.9346396612121245
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,32,converter_only,0.609014,0.48332,0.888094,0.7936106559126719
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,32,converter_only,0.60671,0.552744,0.916523,0.9110514084158824
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,32,converter_only,0.622234,0.573127,0.94225,0.9210795295660477
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,32,converter_only,0.63911,0.57213,0.958875,0.895198009732284
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,32,converter_only,0.800264,0.016628,0.480203,0.020778143212739797
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,32,converter_only,0.743356,0.719521,0.913742,0.9679359553161607
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,32,converter_only,0.609014,0.057423,0.599008,0.09428847284298883
