compressor,metric,n,pearson,spearman
gpt2:llama1b,diagnostic_rel_magnitude_z_abs_mean,6,-0.6063741109409746,-0.8857142857142857
gpt2:llama1b,diagnostic_target_magnitude_std_mean,6,0.37259621821213773,0.8857142857142857
gpt2:llama1b,diagnostic_target_magnitude_std_min,6,0.3725962131903905,0.8857142857142857
gpt2:llama1b,prior_target_param_b,6,0.7136524145464963,0.6767633692869746
gpt2:llama1b,prior_log_param_ratio_target_over_source,6,0.711560264622998,0.6767633692869746
gpt2:llama1b,_z_prior_target_param_b,6,0.7136524145464962,0.6767633692869746
gpt2:llama1b,_z_log_param_ratio,6,0.7115602646229982,0.6767633692869746
gpt2:llama1b,abs_log_hidden_ratio,6,0.8914665953487472,0.6667366910003157
gpt2:llama1b,combined_hidden_source_quality_score,6,0.8603598748074679,0.6571428571428571
gpt2:llama1b,target_hidden_size,6,0.8660138653204854,0.6087595874350709
gpt2:llama1b,_z_target_hidden_size,6,0.8660138653204853,0.6087595874350709
gpt2:llama1b,rel_direction_l1_to_target,6,-0.1705975129547527,-0.6
gpt2:llama1b,rel_direction_rmse_to_target,6,-0.17707773340767774,-0.6
gpt2:llama1b,rel_magnitude_rmse_to_target,6,0.1596627768160363,0.6
gpt2:llama1b,capacity_normalized_direction_rmse,6,-0.23323681502790336,-0.6
gpt2:llama1b,pair_normalized_direction_rmse,6,-0.2015418297738281,-0.6
gpt2:llama1b,target_readability_tail_frac,6,0.21975205704299047,-0.6
gpt2:llama1b,_z_neg_direction_rmse,6,0.17707773340767777,0.6
gpt2:llama1b,_z_neg_magnitude_rmse,6,-0.15966277681603502,-0.6
gpt2:llama1b,_z_neg_pair_norm_direction_rmse,6,0.2015418297738281,0.6
gpt2:llama1b,_z_neg_target_readability_tail,6,-0.21975205704299045,0.6
gpt2:llama1b,pair_geometry_compatibility_score,6,-0.01629373934080731,0.6
gpt2:llama1b,target_direction_subspace_residual,6,0.6615465929572325,0.5428571428571428
gpt2:llama1b,_z_neg_subspace_residual,6,-0.6615465929572324,-0.5428571428571428
gpt2:llama1b,combined_param_direction_score,6,0.4555653948975919,0.5428571428571428
gpt2:llama1b,combined_ratio_direction_score,6,0.3820463325788901,0.5428571428571428
gpt2:llama1b,memory_target_norm_gap,6,0.42881940119873063,0.4857142857142857
gpt2:llama1b,diagnostic_rel_direction_z2_mean,6,0.023408039102994303,-0.4857142857142857
gpt2:llama1b,target_readability_z2_mean,6,0.02479649974574956,-0.4857142857142857
gpt2:llama1b,_z_neg_target_readability_z2,6,-0.02479649974574956,0.4857142857142857
gpt2:llama1b,combined_hidden_direction_score,6,0.5959973898873048,0.4857142857142857
gpt2:llama1b,combined_hidden_js_score,6,0.5855226843212786,0.4857142857142857
gpt2:llama1b,source_native_nll,6,0.175847569927493,0.42857142857142855
gpt2:llama1b,_z_neg_source_native_nll,6,-0.17584756992749134,-0.42857142857142855
gpt2:llama1b,prior_same_model_family,6,0.4880025048379256,0.41403933560541256
gpt2:llama1b,prior_cross_model_family,6,-0.48800250483792557,-0.41403933560541256
gpt2:llama1b,diagnostic_source_direction_entropy_mean,6,0.22890725142087323,0.39466488146729556
gpt2:llama1b,prior_param_tier_jump,6,0.4712104286987984,0.3927922024247863
gpt2:llama1b,anchor_direction_js_to_target,6,-0.17223857976859225,-0.37142857142857144
gpt2:llama1b,diagnostic_target_direction_std_mean,6,-0.3276865488669782,-0.37142857142857144
gpt2:llama1b,target_readability_cross_entropy,6,-0.17304554883916973,-0.37142857142857144
gpt2:llama1b,source_to_target_anchor_kl,6,-0.17470120661118638,-0.37142857142857144
gpt2:llama1b,source_target_direction_dispersion_gap,6,-0.3865434014214828,-0.37142857142857144
gpt2:llama1b,diagnostic_target_direction_entropy,6,0.12142972594903623,0.37142857142857144
gpt2:llama1b,_z_neg_anchor_js,6,0.17223857976859216,0.37142857142857144
gpt2:llama1b,_z_neg_target_readability_ce,6,0.17304554883916973,0.37142857142857144
gpt2:llama1b,_z_neg_source_to_target_kl,6,0.17470120661118643,0.37142857142857144
gpt2:llama1b,_z_neg_direction_dispersion_gap,6,0.38654340142148275,0.37142857142857144
gpt2:llama1b,target_readability_energy,6,0.20193879040180182,0.2571428571428571
gpt2:llama1b,_z_target_readability_energy,6,0.2019387904018019,0.2571428571428571
gpt2:llama1b,diagnostic_source_direction_std_mean,6,0.3901722216923211,0.2125118592516207
gpt2:llama1b,source_target_top_anchor_overlap,6,-0.31179635665473765,-0.14285714285714285
gpt2:llama1b,_z_top_anchor_overlap,6,-0.31179635665473765,-0.14285714285714285
gpt2:llama1b,rel_magnitude_l1_to_target,6,0.07508753146303922,0.08571428571428572
gpt2:llama1b,diagnostic_target_direction_std_min,6,-0.32047967416404943,-0.08571428571428572
gpt2:llama1b,target_text_nll,6,-0.1561972123184388,-0.08571428571428572
gpt2:llama1b,target_minus_source_nll,6,-0.1587769164324342,-0.08571428571428572
gpt2:llama1b,source_target_direction_entropy_gap,6,0.36209937962490196,0.08571428571428572
gpt2:llama1b,_z_neg_direction_entropy_gap,6,-0.3620993796249019,-0.08571428571428572
gpt2:llama3b,diagnostic_rel_magnitude_z_abs_mean,6,-0.663113738434718,-0.9428571428571428
gpt2:llama3b,diagnostic_target_magnitude_std_mean,6,0.45604949132969935,0.9428571428571428
gpt2:llama3b,diagnostic_target_magnitude_std_min,6,0.4560494884215041,0.9428571428571428
gpt2:llama3b,target_hidden_size,6,0.8644446190136376,0.8827348295047495
gpt2:llama3b,abs_log_hidden_ratio,6,-0.8870442385563327,-0.8827348295047495
gpt2:llama3b,_z_target_hidden_size,6,0.8644446190136376,0.8827348295047495
gpt2:llama3b,anchor_direction_js_to_target,6,-0.4082649718046531,-0.8285714285714286
gpt2:llama3b,source_to_target_anchor_kl,6,-0.4208278752251619,-0.8285714285714286
gpt2:llama3b,target_readability_energy,6,-0.5091020064472178,-0.8285714285714286
gpt2:llama3b,_z_neg_anchor_js,6,0.4082649718046531,0.8285714285714286
gpt2:llama3b,_z_neg_source_to_target_kl,6,0.42082787522516185,0.8285714285714286
gpt2:llama3b,_z_target_readability_energy,6,-0.5091020064472179,-0.8285714285714286
gpt2:llama3b,combined_param_direction_score,6,0.6203404813154353,0.8285714285714286
gpt2:llama3b,combined_ratio_direction_score,6,0.5315234393519983,0.8285714285714286
gpt2:llama3b,prior_target_param_b,6,0.749114255207765,0.8116794499134278
gpt2:llama3b,prior_log_param_ratio_target_over_source,6,0.6335275789830639,0.8116794499134278
gpt2:llama3b,_z_prior_target_param_b,6,0.749114255207765,0.8116794499134278
gpt2:llama3b,_z_log_param_ratio,6,0.6335275789830639,0.8116794499134278
gpt2:llama3b,rel_direction_l1_to_target,6,-0.4438702042860131,-0.7714285714285715
gpt2:llama3b,rel_direction_rmse_to_target,6,-0.4475342244006945,-0.7714285714285715
gpt2:llama3b,memory_target_norm_gap,6,0.5375626009409008,0.7714285714285715
