target,metric,n,pearson,spearman
llama1b,source_native_nll,12,-0.40272987450625836,-0.7342657342657343
llama1b,target_minus_source_nll,12,0.40272987450625836,0.7342657342657343
llama1b,_z_neg_source_native_nll,12,0.4027298745062583,0.7342657342657343
llama1b,combined_hidden_source_quality_score,12,0.40272987450625825,0.7342657342657343
llama1b,abs_log_hidden_ratio,12,0.6317947871487399,0.4302429646588314
llama1b,diagnostic_source_direction_entropy_mean,12,0.22797244358073315,0.3356643356643357
llama1b,diagnostic_target_magnitude_std_mean,12,0.29156299270150765,0.27034829779464153
llama1b,diagnostic_target_magnitude_std_min,12,0.29156299270150765,0.27034829779464153
llama1b,source_hidden_size,12,0.348873264938336,0.2581457787952988
llama1b,prior_same_model_family,12,0.2817018694366142,0.20483662259967567
llama1b,prior_cross_model_family,12,-0.2817018694366142,-0.20483662259967567
llama1b,memory_target_norm_gap,12,-0.26611104507244254,-0.1958041958041958
llama1b,prior_source_param_b,12,0.25515132874667046,0.17468525869645868
llama1b,prior_log_param_ratio_target_over_source,12,-0.1693305780272829,-0.17468525869645868
llama1b,_z_log_param_ratio,12,-0.16933057802728294,-0.17468525869645868
llama1b,diagnostic_source_direction_std_mean,12,0.20147818014368526,0.13286713286713286
llama1b,source_target_top_anchor_overlap,12,-0.23383261550520312,-0.11888111888111888
llama1b,source_target_direction_entropy_gap,12,0.19455585479493867,0.11888111888111888
llama1b,_z_top_anchor_overlap,12,-0.23383261550520312,-0.11888111888111888
llama1b,_z_neg_direction_entropy_gap,12,-0.19455585479493864,-0.11888111888111888
llama1b,anchor_direction_js_to_target,12,0.09643619022315683,0.11188811188811189
llama1b,_z_neg_anchor_js,12,-0.09643619022315685,-0.11188811188811189
llama1b,combined_hidden_js_score,12,-0.09643619022315679,-0.11188811188811189
llama1b,pair_geometry_compatibility_score,12,-0.09015506137840697,0.09090909090909091
llama1b,diagnostic_target_direction_std_mean,12,0.0939585494018634,0.09011609926488051
llama1b,diagnostic_target_direction_std_min,12,0.037727684403953646,0.09011609926488051
llama1b,diagnostic_target_direction_entropy,12,-0.12157837700795757,-0.09011609926488051
llama1b,target_direction_subspace_residual,12,-0.12444002777199599,-0.08391608391608392
llama1b,_z_neg_subspace_residual,12,0.12444002777199598,0.08391608391608392
llama1b,target_readability_cross_entropy,12,0.14115610549407123,0.06993006993006994
llama1b,_z_neg_target_readability_ce,12,-0.1411561054940712,-0.06993006993006994
llama1b,combined_ratio_direction_score,12,-0.0989544986725628,-0.06293706293706294
llama1b,target_readability_tail_frac,12,-0.11862751921275323,0.04895104895104895
llama1b,target_readability_energy,12,-0.18059156759419145,-0.04895104895104895
llama1b,_z_neg_target_readability_tail,12,0.1186275192127533,-0.04895104895104895
llama1b,_z_target_readability_energy,12,-0.18059156759419145,-0.04895104895104895
llama1b,rel_magnitude_l1_to_target,12,-0.11928395846641898,-0.04195804195804196
llama1b,rel_magnitude_rmse_to_target,12,-0.11457310541418218,-0.04195804195804196
llama1b,_z_neg_magnitude_rmse,12,0.11457310541418216,0.04195804195804196
llama1b,diagnostic_rel_magnitude_z_abs_mean,12,-0.17994244916943639,-0.027972027972027972
llama1b,source_target_direction_dispersion_gap,12,-0.1408485750375134,-0.02097902097902098
llama1b,_z_neg_direction_dispersion_gap,12,0.1408485750375134,0.02097902097902098
llama1b,rel_direction_l1_to_target,12,-0.05522691044311295,0.013986013986013986
llama1b,rel_direction_rmse_to_target,12,-0.047239556266254,0.013986013986013986
llama1b,capacity_normalized_direction_rmse,12,-0.04723955626625389,0.013986013986013986
llama1b,pair_normalized_direction_rmse,12,-0.11304223438636328,0.013986013986013986
llama1b,_z_neg_direction_rmse,12,0.047239556266254035,-0.013986013986013986
llama1b,_z_neg_pair_norm_direction_rmse,12,0.11304223438636332,-0.013986013986013986
llama1b,combined_hidden_direction_score,12,0.047239556266253875,-0.013986013986013986
llama1b,combined_param_direction_score,12,0.047239556266253875,-0.013986013986013986
llama1b,source_to_target_anchor_kl,12,0.07657805007745028,0.006993006993006993
llama1b,_z_neg_source_to_target_kl,12,-0.07657805007745026,-0.006993006993006993
llama1b,diagnostic_rel_direction_z2_mean,12,-0.12989856600300084,0.0
llama1b,target_readability_z2_mean,12,-0.1298904813072715,0.0
llama1b,_z_neg_target_readability_z2,12,0.12989048130727154,0.0
llama3b,source_native_nll,12,-0.6281779198311865,-0.6993006993006993
llama3b,target_minus_source_nll,12,0.6281779198311865,0.6993006993006993
llama3b,_z_neg_source_native_nll,12,0.6281779198311865,0.6993006993006993
llama3b,combined_hidden_source_quality_score,12,0.6281779198311865,0.6993006993006993
llama3b,target_readability_tail_frac,12,0.2720307543507136,0.6643356643356644
llama3b,_z_neg_target_readability_tail,12,-0.2720307543507136,-0.6643356643356644
llama3b,diagnostic_rel_direction_z2_mean,12,0.33220181426496387,0.6573426573426573
llama3b,target_readability_z2_mean,12,0.3319501276114747,0.6573426573426573
llama3b,_z_neg_target_readability_z2,12,-0.33195012761147463,-0.6573426573426573
llama3b,rel_direction_l1_to_target,12,0.28072695346023635,0.4965034965034965
llama3b,rel_direction_rmse_to_target,12,0.27109718716303294,0.4965034965034965
llama3b,capacity_normalized_direction_rmse,12,0.2710971871630329,0.4965034965034965
llama3b,_z_neg_direction_rmse,12,-0.2710971871630329,-0.4965034965034965
llama3b,combined_hidden_direction_score,12,-0.2710971871630329,-0.4965034965034965
llama3b,combined_param_direction_score,12,-0.271097187163033,-0.4965034965034965
llama3b,source_target_direction_entropy_gap,12,0.10839785830483605,0.38461538461538464
