pair,encoder,source,target,mem_tokens,method,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,32,encoder_converter,0.60671,0.598006,0.944867,0.9856537719833199
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,32,encoder_converter,0.622234,0.618879,0.964695,0.9946081377745349
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,32,encoder_converter,0.63911,0.610038,0.977695,0.9545117428924599
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,32,encoder_converter,0.330527,0.169557,0.65418,0.5129898616451909
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,32,encoder_converter,0.800264,0.265902,0.718938,0.3322678516089691
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,32,encoder_converter,0.743356,0.76397,0.931531,1.0277309929562686
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,32,encoder_converter,0.609014,0.485128,0.898602,0.7965793889795636
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,32,encoder_converter,0.622234,0.602097,0.956313,0.9676375768601524
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,32,encoder_converter,0.63911,0.585947,0.969125,0.9168171363302092
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,32,encoder_converter,0.330527,0.091486,0.591414,0.27678828053381416
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,32,encoder_converter,0.800264,0.359492,0.782273,0.449216758469705
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,32,encoder_converter,0.743356,0.713127,0.913789,0.9593344238830385
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,32,encoder_converter,0.609014,0.477232,0.890523,0.7836141697892002
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,32,encoder_converter,0.60671,0.538685,0.923594,0.8878788877717526
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,32,encoder_converter,0.63911,0.55122,0.955297,0.8624806371360174
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,32,encoder_converter,0.330527,0.128236,0.609055,0.38797435610403985
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,32,encoder_converter,0.800264,0.262474,0.712391,0.32798426519248647
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,32,encoder_converter,0.743356,0.696717,0.909633,0.9372588638552726
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,32,encoder_converter,0.609014,0.50589,0.905852,0.8306705592974872
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,32,encoder_converter,0.60671,0.563192,0.940734,0.9282721563844342
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,32,encoder_converter,0.622234,0.570992,0.947195,0.917648344513479
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,32,encoder_converter,0.330527,0.332177,0.759453,1.0049920278827449
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,32,encoder_converter,0.800264,0.315593,0.735914,0.394361110833425
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,32,encoder_converter,0.743356,0.757909,0.924594,1.0195774299259037
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,32,encoder_converter,0.609014,0.489658,0.897437,0.80401764163057
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,32,encoder_converter,0.60671,0.552138,0.924055,0.9100525786619638
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,32,encoder_converter,0.622234,0.58267,0.949859,0.9364162035504329
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,32,encoder_converter,0.63911,0.584128,0.96718,0.9139709909092332
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,32,encoder_converter,0.800264,0.2904,0.738297,0.3628802495176592
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,32,encoder_converter,0.743356,0.742717,0.918117,0.9991403849568712
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,32,encoder_converter,0.609014,0.39076,0.844094,0.6416272860722413
gpt2:qwen3b->llama3b,gpt2,qwen3b,llama3b,32,encoder_converter,0.60671,0.56439,0.935586,0.9302467406174284
gpt2:qwen3b->llama8b,gpt2,qwen3b,llama8b,32,encoder_converter,0.622234,0.592891,0.95732,0.9528424997669687
gpt2:qwen3b->mistral7b,gpt2,qwen3b,mistral7b,32,encoder_converter,0.63911,0.594435,0.97193,0.9300981051775126
gpt2:qwen3b->qwen1.5b,gpt2,qwen3b,qwen1.5b,32,encoder_converter,0.330527,0.268657,0.731984,0.8128140817542893
