metric,n,controls,pearson_residual,spearman_residual
source_native_nll,83,target,0.37290528944518003,0.4749590697283909
target_minus_source_nll,83,target,-0.37290528944518003,-0.4749590697283909
_z_neg_source_native_nll,83,target,-0.3729052894451801,-0.4749590697283909
combined_hidden_source_quality_score,83,target,-0.3729052894451801,-0.4749590697283909
prior_same_model_family,83,target,0.28845196363920117,0.29780412641810244
prior_cross_model_family,83,target,-0.2884519636392012,-0.29780412641810244
prior_param_tier_jump,83,target,0.3737442161971769,0.28444635392828643
diagnostic_rel_magnitude_z_abs_mean,83,target,-0.13605642326177095,-0.2637168884597624
source_hidden_size,83,target,-0.30188015534720125,-0.2566140825292667
source_target_direction_entropy_gap,83,target,0.1268497895686933,0.24784853700516352
_z_neg_direction_entropy_gap,83,target,-0.1268497895686933,-0.24784853700516352
prior_log_param_ratio_target_over_source,83,target,0.29162306225645596,0.2345907355893759
_z_log_param_ratio,83,target,0.2916230622564559,0.2345907355893759
diagnostic_source_direction_entropy_mean,83,target,-0.24001401717136903,-0.22450778724654716
prior_source_param_b,83,target,-0.31221226318446965,-0.22398067012698217
combined_ratio_direction_score,83,target,0.28557674118636456,0.1851307669703203
target_direction_subspace_residual,83,target,0.4254054530554841,0.1788128122245078
_z_neg_subspace_residual,83,target,-0.42540545305548416,-0.1788128122245078
abs_log_hidden_ratio,83,target,0.28299357956773324,0.17558690416103442
diagnostic_target_magnitude_std_mean,83,target,0.11671403534136672,0.16661784849781242
diagnostic_target_magnitude_std_min,83,target,0.11671401131126591,0.16661784849781242
anchor_direction_js_to_target,83,target,0.08552045095775604,0.16069854330212838
_z_neg_anchor_js,83,target,-0.08552045095775604,-0.16069854330212838
combined_hidden_js_score,83,target,-0.08552045095775608,-0.16069854330212838
rel_magnitude_l1_to_target,83,target,-0.19920881066685725,-0.15645858696108475
rel_magnitude_rmse_to_target,83,target,-0.1949216203825556,-0.1558079005919147
_z_neg_magnitude_rmse,83,target,0.19492162038255562,0.1558079005919147
source_to_target_anchor_kl,83,target,0.07919181821618637,0.14289912262289575
_z_neg_source_to_target_kl,83,target,-0.07919181821618639,-0.14289912262289575
source_target_direction_dispersion_gap,83,target,0.08305579983806557,0.13196339364426346
_z_neg_direction_dispersion_gap,83,target,-0.08305579983806556,-0.13196339364426346
diagnostic_rel_direction_z2_mean,83,target,0.2425456467607421,0.13183745434700475
