metric,tier,global_spearman,T1_mean_abs_spearman,T2_mean_abs_spearman
pair_normalized_direction_rmse,L1_pair_compatibility,-0.4989295159733009,0.2140859140859141,0.5
target_readability_cross_entropy,L1_pair_compatibility,-0.47099198186474117,0.15134865134865136,0.45714285714285713
source_to_target_anchor_kl,L1_pair_compatibility,-0.46312077578607114,0.268031968031968,0.4836734693877551
pair_geometry_compatibility_score,L1_pair_compatibility,0.39190210318626423,0.200999000999001,0.4306122448979592
source_target_direction_entropy_gap,L1_pair_compatibility,-0.28153729902187147,0.30059940059940055,0.4510204081632653
target_readability_tail_frac,L1_pair_compatibility,-0.2762640621770271,0.23684248463160754,0.4828244336646355
target_magnitude_tail_frac,L1_pair_compatibility,-0.24929037829900294,0.333285168648392,0.6546536707079772
target_readability_z2_mean,L1_pair_compatibility,-0.22713152260610386,0.2272727272727273,0.37755102040816324
source_target_top_anchor_overlap,L1_pair_compatibility,0.08879909743183115,0.19880119880119881,0.4389542772945933
target_readability_energy,L1_pair_compatibility,0.06338944628688972,0.21618381618381619,0.5816326530612245
source_target_direction_dispersion_gap,L1_pair_compatibility,-0.033394903656437595,0.2457542457542458,0.5102040816326531
target_direction_subspace_residual,L1_mechanism,0.5599680953780278,0.11158841158841158,0.5
capacity_normalized_direction_rmse,L1_mechanism,-0.5292598967297762,0.2115884115884116,0.5
rel_direction_rmse_to_target,L1_mechanism,-0.5171907140758154,0.2115884115884116,0.5
rel_direction_l1_to_target,L1_mechanism,-0.5162671592292515,0.2042957042957043,0.5
anchor_direction_js_to_target,L1_mechanism,-0.4711179211619999,0.26503496503496504,0.4877551020408163
rel_magnitude_l1_to_target,L1_mechanism,-0.005772217791024726,0.16473526473526473,0.34183673469387754
rel_magnitude_rmse_to_target,L1_mechanism,0.005415389782125015,0.15574425574425574,0.42857142857142855
target_text_nll,L2_text,-0.274485384601886,,0.31428571428571433
target_minus_source_nll,L2_text,-0.1781831157382142,0.5031968031968032,0.31428571428571433
source_native_nll,L2_text,0.09703512082991649,0.5031968031968032,0.4612244897959184
prior_log_param_ratio_target_over_source,L3_discrete,0.5365248643294201,0.2859074955650965,0.6084536263581176
prior_param_tier_jump,L3_discrete,0.1624795548794759,0.30071672041786324,0.6003016913509386
prior_same_model_family,L3_discrete,-0.012359394529522612,0.31614864509076107,0.30548900628638115
combined_ratio_direction_score,L4_composite,0.5548675538390496,0.22647352647352648,0.5040816326530612
combined_hidden_js_score,L4_composite,0.538600394609798,0.26503496503496504,0.5806122448979592
combined_hidden_direction_score,L4_composite,0.5274127870366483,0.2115884115884116,0.5193877551020408
combined_param_direction_score,L4_composite,0.5127828386717602,0.2115884115884116,0.4795918367346939
combined_hidden_source_quality_score,L4_composite,0.45499008238637906,0.5031968031968032,0.7028427998770798
_z_target_hidden_size,L0_baseline,0.7232606146730041,,0.7257355580646616
target_hidden_size,L0_baseline,0.7232606146730041,,0.7257355580646616
_z_prior_target_param_b,L0_baseline,0.6125312978497058,,0.6084536263581176
prior_target_param_b,L0_baseline,0.6125312978497058,,0.6084536263581176
_z_neg_subspace_residual,other,-0.5599680953780278,0.11158841158841158,0.5
_z_log_param_ratio,other,0.5365248643294201,0.2859074955650965,0.6084536263581176
_z_neg_direction_rmse,other,0.5171907140758154,0.2115884115884116,0.5
diagnostic_target_direction_std_min,other,-0.5115243551241413,0.25784481634176737,0.4836734693877551
diagnostic_target_magnitude_std_mean,other,0.5115017615408582,0.3013119527440131,0.6510204081632652
diagnostic_target_magnitude_std_min,other,0.5115017615408582,0.3013119527440131,0.6510204081632652
_z_neg_pair_norm_direction_rmse,other,0.4989295159733009,0.2140859140859141,0.5
diagnostic_target_direction_std_mean,other,-0.4944289250236996,0.3057156302689665,0.5142857142857143
_z_neg_anchor_js,other,0.4711179211619999,0.26503496503496504,0.4877551020408163
_z_neg_target_readability_ce,other,0.47099198186474117,0.15134865134865136,0.45714285714285713
diagnostic_target_direction_entropy,other,0.46844120835472414,0.22719643956936458,0.4571428571428572
_z_neg_source_to_target_kl,other,0.46312077578607114,0.268031968031968,0.4836734693877551
diagnostic_rel_magnitude_z_abs_mean,other,-0.36686117291465514,0.25364635364635363,0.6510204081632652
memory_target_norm_gap,other,0.30382855463666514,0.27492507492507495,0.5948979591836735
_z_neg_direction_entropy_gap,other,0.28153729902187147,0.30059940059940055,0.4510204081632653
_z_neg_target_readability_tail,other,0.2762640621770271,0.23684248463160754,0.4828244336646355
source_hidden_size,other,-0.25180024473529594,0.3335498693227038,
_z_neg_target_magnitude_tail,other,0.24929037829900294,0.333285168648392,0.6546536707079772
_z_neg_target_readability_z2,other,0.22713152260610386,0.2272727272727273,0.37755102040816324
diagnostic_rel_direction_z2_mean,other,-0.22713152260610386,0.2272727272727273,0.37755102040816324
