metric,n_compressors,mean_pearson,median_pearson,mean_spearman,median_spearman,mean_abs_spearman,positive_spearman_compressors,negative_spearman_compressors
target_hidden_size,14,0.7122031341674877,0.7107281408462626,0.7257355580646616,0.7740818464512287,0.7257355580646616,14,0
_z_target_hidden_size,14,0.7122031341674877,0.7107281408462625,0.7257355580646616,0.7740818464512287,0.7257355580646616,14,0
combined_hidden_source_quality_score,14,0.7116773117863849,0.7111626054621167,0.7028427998770798,0.7268511731740914,0.7028427998770798,14,0
target_magnitude_tail_frac,2,-0.8508179445129873,-0.8508179445129873,-0.6546536707079772,-0.6546536707079772,0.6546536707079772,0,2
_z_neg_target_magnitude_tail,2,0.8508179445129875,0.8508179445129875,0.6546536707079772,0.6546536707079772,0.6546536707079772,2,0
prior_target_param_b,14,0.6847668364352346,0.6791196312426929,0.6084536263581176,0.6522424151090045,0.6084536263581176,14,0
prior_log_param_ratio_target_over_source,14,0.6097335417888303,0.6142486590454639,0.6084536263581176,0.6522424151090045,0.6084536263581176,14,0
_z_prior_target_param_b,14,0.6847668364352346,0.679119631242693,0.6084536263581176,0.6522424151090045,0.6084536263581176,14,0
_z_log_param_ratio,14,0.6097335417888303,0.614248659045464,0.6084536263581176,0.6522424151090045,0.6084536263581176,14,0
memory_target_norm_gap,14,0.29101554110827454,0.24200726406882977,0.5948979591836735,0.6285714285714286,0.5948979591836735,14,0
combined_hidden_js_score,14,0.6699517309775539,0.7008136529156898,0.5561224489795918,0.6,0.5806122448979592,12,2
combined_hidden_direction_score,14,0.6620285708537744,0.6800702950445614,0.5193877551020408,0.5428571428571428,0.5193877551020408,14,0
diagnostic_rel_magnitude_z_abs_mean,14,-0.5797659718116215,-0.7357694154953739,-0.5040816326530612,-0.6285714285714286,0.6510204081632652,2,12
diagnostic_target_magnitude_std_mean,14,0.5417401373619333,0.7358008515357739,0.5040816326530612,0.6285714285714286,0.6510204081632652,12,2
diagnostic_target_magnitude_std_min,14,0.5417401474710569,0.7358008500500792,0.5040816326530612,0.6285714285714286,0.6510204081632652,12,2
combined_ratio_direction_score,14,0.5489914502842387,0.5634868680732181,0.5040816326530612,0.5428571428571428,0.5040816326530612,14,0
rel_direction_l1_to_target,14,-0.4511875787821341,-0.4557461649772217,-0.5,-0.5714285714285714,0.5,0,14
rel_direction_rmse_to_target,14,-0.460561399013337,-0.4601539485952162,-0.5,-0.5714285714285714,0.5,0,14
target_direction_subspace_residual,14,0.7510627266280999,0.749896775675232,0.5,0.6,0.5,14,0
capacity_normalized_direction_rmse,14,-0.4909213275251985,-0.49125091968993984,-0.5,-0.5714285714285714,0.5,0,14
pair_normalized_direction_rmse,14,-0.4764404107419983,-0.49816440984230936,-0.5,-0.5714285714285714,0.5,0,14
_z_neg_direction_rmse,14,0.460561399013337,0.4601539485952162,0.5,0.5714285714285714,0.5,14,0
_z_neg_subspace_residual,14,-0.7510627266281,-0.749896775675232,-0.5,-0.6,0.5,0,14
_z_neg_pair_norm_direction_rmse,14,0.4764404107419982,0.49816440984230925,0.5,0.5714285714285714,0.5,14,0
diagnostic_target_direction_std_mean,14,-0.4529994104199003,-0.47779347542617345,-0.4897959183673469,-0.5714285714285714,0.5142857142857143,2,12
source_target_direction_dispersion_gap,14,-0.4525981949084174,-0.5105251681767754,-0.4857142857142857,-0.6,0.5102040816326531,2,12
_z_neg_direction_dispersion_gap,14,0.4525981949084174,0.5105251681767755,0.4857142857142857,0.6,0.5102040816326531,12,2
