pair,encoder,source,target,n_samples,n_anchors,rel_direction_l1_to_target,rel_direction_rmse_to_target,rel_magnitude_l1_to_target,rel_magnitude_rmse_to_target,memory_target_norm_gap,anchor_direction_js_to_target,target_direction_subspace_residual,capacity_normalized_direction_rmse,diagnostic_rel_direction_z2_mean,diagnostic_rel_magnitude_z_abs_mean,diagnostic_target_direction_std_mean,diagnostic_target_direction_std_min,diagnostic_target_magnitude_std_mean,diagnostic_target_magnitude_std_min,target_text_nll,source_native_nll,target_minus_source_nll,source_hidden_size,target_hidden_size,abs_log_hidden_ratio,prior_same_model_family,prior_cross_model_family,prior_target_param_b,prior_source_param_b,prior_log_param_ratio_target_over_source,prior_param_tier_jump
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,128,512,0.15030058834236115,0.1576469992287457,3.737065887078643,3.7378696985542774,3.5814232006669044,0.02848269480455201,0.016853879089467227,0.019632048354415278,5.545786309987307,36.090625643730164,0.06417271494865417,0.04600384086370468,0.10354672372341156,0.10354671627283096,3.0276303105056286,1.2183040734380484,1.8093262370675802,2048,3072,0.40546510810653674,1.0,0.0,3.0,1.0,1.098612288001443,2.0
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,128,512,0.034228125790832564,0.04000416348571889,3.653576446697116,3.657151995226741,5.440796946408227,0.005576528146775672,0.6059842281974852,0.0048094840229784205,0.6724397712387145,32.757734060287476,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,1.221629844745621,1.3017667152453214,2048,4096,0.6931471805575039,0.0,1.0,7.0,1.0,1.9459101481981704,2.0
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,128,512,0.08669969416223466,0.09357011591782793,3.7192020155489445,3.7208177763968706,3.617818773025647,0.016675637030857615,0.04312073427718133,0.012753294326809274,2.1503944378346205,39.13989055156708,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,1.2200796571560204,1.7148217582143843,2048,1536,0.2876820724501533,0.0,1.0,1.5,1.0,0.405465107774831,1.0
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,128,512,0.06161586323287338,0.06821103376569226,3.7204465232789516,3.721910571679473,3.542605156544596,0.012120864827011246,0.08257777336984873,0.008946156377055531,1.3967737890779972,39.76681607961655,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,1.2126187006942928,1.5942996931262314,2048,2048,0.0,0.0,1.0,3.0,1.0,1.098612288001443,2.0
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,128,512,0.019456431837170385,0.02432459189731162,3.7193366661667824,3.7238013055175543,3.822232882725075,0.005194682824367192,0.7468962636776268,0.0029721278248635817,0.20353101950604469,22.394151002168655,0.05401451885700226,0.05000661313533783,0.16608518362045288,0.1660851687192917,2.7019879138097167,1.2167668133042753,1.4852211005054414,2048,3584,0.55961578793333,0.0,1.0,7.0,1.0,1.9459101481981704,2.0
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,128,512,0.13785509171430022,0.14507393585518003,4.014034237712622,4.014558736234903,4.1696768428664654,0.025456960720475763,0.01731770763581153,0.019027040710943435,4.520741432905197,41.69007566571236,0.06511299312114716,0.04729097709059715,0.0962827205657959,0.0962827205657959,3.2864207942038774,0.8902723609935492,2.396148433210328,3072,2048,0.4054651081065368,1.0,0.0,1.0,3.0,-1.098612288001443,1.0
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,128,512,0.018173894350184128,0.02236720254586544,4.064548058435321,4.087439049035311,4.660797783173621,0.003512576200591866,0.7566205798648298,0.002689087682622466,0.6352827728260309,5.071805935353041,0.047761958092451096,2.7864276858080572e-11,0.8014005422592163,0.8014005422592163,2.9135442646220326,0.8927673539146781,2.0207769107073545,3072,4096,0.2876820724509672,1.0,0.0,8.0,3.0,0.9808292528033928,2.0
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,128,512,0.033319063441012986,0.03702594980131835,3.9507219716906548,3.953742468729615,5.87666265736334,0.003382626349775819,0.6114718895405531,0.004451429513545833,0.5782481725327671,35.421920359134674,0.04879947751760483,0.04660823941230774,0.1115332543849945,0.11153324693441391,2.5233965599909425,0.8955646273680031,1.6278319326229393,3072,4096,0.2876820724509672,0.0,1.0,7.0,3.0,0.8472978601967275,1.0
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,128,512,0.08691429678583518,0.09292051318334416,3.999895252287388,4.0013370886445045,4.053864435525611,0.015421130097820424,0.031094400736037642,0.012664755643415453,2.1118385326117277,42.09383189678192,0.06148760765790939,0.04903706535696983,0.09502331912517548,0.09502331167459488,2.9349014153704047,0.8912594327703118,2.043641982600093,3072,1536,0.6931471805566901,0.0,1.0,1.5,3.0,-0.6931471802266119,1.0
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,128,512,0.06169667124049738,0.06722128391265869,3.9983757324516773,3.999619258567691,3.975886825239286,0.010841250303201377,0.057907126494683325,0.008816346631174513,1.3494830587878823,42.73752421140671,0.05605114996433258,0.04735105484724045,0.09355656802654266,0.09355656057596207,2.806918393820524,0.8881798612419516,1.9187385325785726,3072,2048,0.4054651081065368,0.0,1.0,3.0,3.0,0.0,0.0
