held_out_family,n,metric,oriented_spearman,config
llama,48,target_readability_cross_entropy,0.6279852366478507,mem8/enc_conv/full
mistral,71,target_readability_cross_entropy,0.45472837022132795,mem8/enc_conv/full
qwen,47,target_readability_cross_entropy,0.438945420906568,mem8/enc_conv/full
llama,48,pair_normalized_direction_rmse,0.7361050803300043,mem8/enc_conv/full
mistral,71,pair_normalized_direction_rmse,0.394466800804829,mem8/enc_conv/full
qwen,47,pair_normalized_direction_rmse,0.508672525439408,mem8/enc_conv/full
llama,48,source_to_target_anchor_kl,0.6520842379504993,mem8/enc_conv/full
mistral,71,source_to_target_anchor_kl,0.4221998658618377,mem8/enc_conv/full
qwen,47,source_to_target_anchor_kl,0.39165124884366326,mem8/enc_conv/full
llama,48,target_readability_cross_entropy,0.597047329570126,mem8/converter_only/full
mistral,71,target_readability_cross_entropy,0.3726693494299128,mem8/converter_only/full
qwen,47,target_readability_cross_entropy,0.376850138760407,mem8/converter_only/full
llama,48,pair_normalized_direction_rmse,0.6254884932696483,mem8/converter_only/full
mistral,71,pair_normalized_direction_rmse,0.3002347417840376,mem8/converter_only/full
qwen,47,pair_normalized_direction_rmse,0.4767576318223867,mem8/converter_only/full
llama,48,source_to_target_anchor_kl,0.5897742075553626,mem8/converter_only/full
mistral,71,source_to_target_anchor_kl,0.3175385647216633,mem8/converter_only/full
qwen,47,source_to_target_anchor_kl,0.33892229417206293,mem8/converter_only/full
llama,47,target_readability_cross_entropy,0.6833950046253469,mem16/enc_conv/full
mistral,71,target_readability_cross_entropy,0.3470489604292421,mem16/enc_conv/full
qwen,48,target_readability_cross_entropy,0.3311984368215371,mem16/enc_conv/full
llama,47,pair_normalized_direction_rmse,0.6607308048103607,mem16/enc_conv/full
mistral,71,pair_normalized_direction_rmse,0.29460093896713613,mem16/enc_conv/full
qwen,48,pair_normalized_direction_rmse,0.34976118106817194,mem16/enc_conv/full
llama,47,source_to_target_anchor_kl,0.7035152636447733,mem16/enc_conv/full
mistral,71,source_to_target_anchor_kl,0.29862508383635145,mem16/enc_conv/full
qwen,48,source_to_target_anchor_kl,0.33228397742075555,mem16/enc_conv/full
llama,47,target_readability_cross_entropy,0.7212072155411656,mem16/converter_only/full
mistral,71,target_readability_cross_entropy,0.2698859825620389,mem16/converter_only/full
qwen,48,target_readability_cross_entropy,0.4618975249674338,mem16/converter_only/full
llama,47,pair_normalized_direction_rmse,0.6290471785383904,mem16/converter_only/full
mistral,71,pair_normalized_direction_rmse,0.2086183769282361,mem16/converter_only/full
qwen,48,pair_normalized_direction_rmse,0.397524967433782,mem16/converter_only/full
llama,47,source_to_target_anchor_kl,0.6735661424606846,mem16/converter_only/full
mistral,71,source_to_target_anchor_kl,0.19466800804828974,mem16/converter_only/full
qwen,48,source_to_target_anchor_kl,0.3953538862353452,mem16/converter_only/full
llama,48,target_readability_cross_entropy,0.6740121580547113,mem32/enc_conv/full
mistral,72,target_readability_cross_entropy,0.2910476557978005,mem32/enc_conv/full
qwen,48,target_readability_cross_entropy,0.1950716456795484,mem32/enc_conv/full
llama,48,pair_normalized_direction_rmse,0.7194963091619626,mem32/enc_conv/full
mistral,72,pair_normalized_direction_rmse,0.24544986815872402,mem32/enc_conv/full
qwen,48,pair_normalized_direction_rmse,0.22003907946157186,mem32/enc_conv/full
llama,48,source_to_target_anchor_kl,0.6839991315675207,mem32/enc_conv/full
mistral,72,source_to_target_anchor_kl,0.2636503955238279,mem32/enc_conv/full
qwen,48,source_to_target_anchor_kl,0.09444203213200174,mem32/enc_conv/full
llama,48,target_readability_cross_entropy,0.6151758575770734,mem32/converter_only/full
mistral,72,target_readability_cross_entropy,0.20872724934079362,mem32/converter_only/full
qwen,48,target_readability_cross_entropy,0.20039079461571863,mem32/converter_only/full
llama,48,pair_normalized_direction_rmse,0.539622231871472,mem32/converter_only/full
mistral,72,pair_normalized_direction_rmse,0.1447038394752074,mem32/converter_only/full
qwen,48,pair_normalized_direction_rmse,0.3097047329570126,mem32/converter_only/full
llama,48,source_to_target_anchor_kl,0.5700173686495875,mem32/converter_only/full
mistral,72,source_to_target_anchor_kl,0.17255128947199178,mem32/converter_only/full
qwen,48,source_to_target_anchor_kl,0.17824576639166304,mem32/converter_only/full
