pair,encoder,source,target,mem_tokens,method,checkpoint_name,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,16,converter_only,gpt2_to_llama1b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_101633,0.636876,0.53466,0.855406,0.8395040792870198
gpt2:llama1b->llama8b,gpt2,llama1b,llama8b,16,converter_only,gpt2_to_llama1b_to_llama8b_converter_only_mem16_len128_100000samples_20260422_105630,0.704776,0.602264,0.902563,0.8545466928499269
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,16,converter_only,gpt2_to_llama1b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260422_135651,0.700437,0.588552,0.907023,0.8402640066130144
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,16,converter_only,gpt2_to_llama1b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_115019,0.274208,0.021753,0.49707,0.07933028941533435
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,16,converter_only,gpt2_to_llama1b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_122507,0.517774,0.004125,0.447164,0.007966796324265028
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,16,converter_only,gpt2_to_llama1b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_130522,0.483388,0.469501,0.810164,0.9712715251516381
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,16,converter_only,gpt2_to_llama3b_to_llama1b_converter_only_mem16_len128_100000samples_20260422_145237,0.547989,0.355909,0.781203,0.6494820151499392
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,16,converter_only,gpt2_to_llama3b_to_llama8b_converter_only_mem16_len128_100000samples_20260422_160227,0.704776,0.607966,0.910766,0.8626372067153252
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,16,converter_only,gpt2_to_llama3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260422_190051,0.700437,0.540547,0.906312,0.7717282210962585
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,16,converter_only,gpt2_to_llama3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_165614,0.274208,0.086985,0.600484,0.3172226922628078
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,16,converter_only,gpt2_to_llama3b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_172943,0.517774,0.006255,0.445164,0.012080560244430969
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,16,converter_only,gpt2_to_llama3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_180923,0.483388,0.456308,0.81768,0.9439787499896564
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,16,converter_only,gpt2_to_llama8b_to_llama1b_converter_only_mem16_len128_100000samples_20260422_195618,0.547989,0.338751,0.776297,0.6181711676694241
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,16,converter_only,gpt2_to_llama8b_to_llama3b_converter_only_mem16_len128_100000samples_20260422_202552,0.636876,0.526727,0.858797,0.827047965381016
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,16,converter_only,gpt2_to_llama8b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260423_000258,0.700437,0.555441,0.898078,0.7929920892242985
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,16,converter_only,gpt2_to_llama8b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260422_215848,0.274208,0.012885,0.465664,0.046989876298284515
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,16,converter_only,gpt2_to_llama8b_to_qwen3b_converter_only_mem16_len128_100000samples_20260422_223159,0.517774,0.003935,0.444047,0.007599840857207972
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,16,converter_only,gpt2_to_llama8b_to_qwen7b_converter_only_mem16_len128_100000samples_20260422_231145,0.483388,0.402276,0.789133,0.8322010476056502
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,16,converter_only,gpt2_to_mistral7b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_005758,0.547989,0.307513,0.721672,0.5611663737775758
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,16,converter_only,gpt2_to_mistral7b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_012736,0.636876,0.430208,0.791961,0.675497271054334
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,16,converter_only,gpt2_to_mistral7b_to_llama8b_converter_only_mem16_len128_100000samples_20260423_020723,0.704776,0.309324,0.753523,0.43889689773772095
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,16,converter_only,gpt2_to_mistral7b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260423_030040,0.274208,0.021841,0.500391,0.07965121367720854
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,16,converter_only,gpt2_to_mistral7b_to_qwen3b_converter_only_mem16_len128_100000samples_20260423_033408,0.517774,0.004283,0.449641,0.008271948765291422
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,16,converter_only,gpt2_to_mistral7b_to_qwen7b_converter_only_mem16_len128_100000samples_20260423_041356,0.483388,0.313356,0.742602,0.6482494393737537
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,16,converter_only,gpt2_to_qwen1.5b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_060023,0.547989,0.33077,0.753672,0.6036070067099888
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,16,converter_only,gpt2_to_qwen1.5b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_063031,0.636876,0.432998,0.809664,0.6798780296321418
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,16,converter_only,gpt2_to_qwen1.5b_to_llama8b_converter_only_mem16_len128_100000samples_20260423_071223,0.704776,0.518667,0.857633,0.7359317002849133
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,16,converter_only,gpt2_to_qwen1.5b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260423_102602,0.700437,0.47003,0.871836,0.6710525000820916
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,16,converter_only,gpt2_to_qwen1.5b_to_qwen3b_converter_only_mem16_len128_100000samples_20260423_085344,0.517774,0.156789,0.644492,0.30281358276004594
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,16,converter_only,gpt2_to_qwen1.5b_to_qwen7b_converter_only_mem16_len128_100000samples_20260423_093341,0.483388,0.422448,0.801242,0.8739315001613611
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,16,converter_only,gpt2_to_qwen3b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_112205,0.547989,0.031688,0.507336,0.05782597825868768
gpt2:qwen3b->llama3b,gpt2,qwen3b,llama3b,16,converter_only,gpt2_to_qwen3b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_115138,0.636876,0.478332,0.824477,0.7510598609462438
gpt2:qwen3b->llama8b,gpt2,qwen3b,llama8b,16,converter_only,gpt2_to_qwen3b_to_llama8b_converter_only_mem16_len128_100000samples_20260424_072235,0.704776,0.557321,0.872586,0.7907774952609056
gpt2:qwen3b->mistral7b,gpt2,qwen3b,mistral7b,16,converter_only,gpt2_to_qwen3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260423_144142,0.700437,0.522521,0.881953,0.7459928587438985
gpt2:qwen3b->qwen1.5b,gpt2,qwen3b,qwen1.5b,16,converter_only,gpt2_to_qwen3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260424_082057,0.274208,0.091484,0.569273,0.33362994515112615
gpt2:qwen3b->qwen7b,gpt2,qwen3b,qwen7b,16,converter_only,gpt2_to_qwen3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260423_134608,0.483388,0.479086,0.814422,0.9911003169296715
gpt2:qwen7b->llama1b,gpt2,qwen7b,llama1b,16,converter_only,gpt2_to_qwen7b_to_llama1b_converter_only_mem16_len128_100000samples_20260423_153739,0.547989,0.345599,0.77243,0.6306677688785725
gpt2:qwen7b->llama3b,gpt2,qwen7b,llama3b,16,converter_only,gpt2_to_qwen7b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_160709,0.636876,0.491501,0.841211,0.7717373554663702
gpt2:qwen7b->llama8b,gpt2,qwen7b,llama8b,16,converter_only,gpt2_to_qwen7b_to_llama8b_converter_only_mem16_len128_100000samples_20260423_164715,0.704776,0.577021,0.888609,0.8187296389207351
gpt2:qwen7b->mistral7b,gpt2,qwen7b,mistral7b,16,converter_only,gpt2_to_qwen7b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260423_195019,0.700437,0.538967,0.899117,0.7694724864620229
gpt2:qwen7b->qwen1.5b,gpt2,qwen7b,qwen1.5b,16,converter_only,gpt2_to_qwen7b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260423_174140,0.274208,0.067531,0.540172,0.24627654918893685
gpt2:qwen7b->qwen3b,gpt2,qwen7b,qwen3b,16,converter_only,gpt2_to_qwen7b_to_qwen3b_converter_only_mem16_len128_100000samples_20260423_181544,0.517774,0.157628,0.655406,0.3044339808487873
llama1b:llama1b->llama3b,llama1b,llama1b,llama3b,16,converter_only,llama1b_to_llama1b_to_llama3b_converter_only_mem16_len128_100000samples_20260423_214416,0.84162,0.664587,0.961133,0.7896520995223497
llama1b:llama1b->llama8b,llama1b,llama1b,llama8b,16,converter_only,llama1b_to_llama1b_to_llama8b_converter_only_mem16_len128_100000samples_20260423_225037,0.837688,0.772001,0.980375,0.9215853635243672
llama1b:llama1b->mistral7b,llama1b,llama1b,mistral7b,16,converter_only,llama1b_to_llama1b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260424_100815,0.696228,0.646055,0.938266,0.9279359635062079
llama1b:llama1b->qwen1.5b,llama1b,llama1b,qwen1.5b,16,converter_only,llama1b_to_llama1b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260424_001129,0.765626,0.023489,0.519578,0.030679470132936967
llama1b:llama1b->qwen3b,llama1b,llama1b,qwen3b,16,converter_only,llama1b_to_llama1b_to_qwen3b_converter_only_mem16_len128_100000samples_20260424_085731,0.806784,0.016956,0.478125,0.021016777724892906
llama1b:llama3b->llama1b,llama1b,llama3b,llama1b,16,converter_only,llama1b_to_llama3b_to_llama1b_converter_only_mem16_len128_100000samples_20260424_113702,0.83109,0.568065,0.923539,0.6835180305382089
llama1b:llama3b->llama8b,llama1b,llama3b,llama8b,16,converter_only,llama1b_to_llama3b_to_llama8b_converter_only_mem16_len128_100000samples_20260424_134954,0.837688,0.81981,0.992469,0.9786579251463553
llama1b:llama3b->mistral7b,llama1b,llama3b,mistral7b,16,converter_only,llama1b_to_llama3b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260424_184748,0.696228,0.728225,0.965938,1.0459576460584752
llama1b:llama3b->qwen1.5b,llama1b,llama3b,qwen1.5b,16,converter_only,llama1b_to_llama3b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260424_151623,0.765626,0.09459,0.596625,0.12354596108282632
llama1b:llama3b->qwen3b,llama1b,llama3b,qwen3b,16,converter_only,llama1b_to_llama3b_to_qwen3b_converter_only_mem16_len128_100000samples_20260424_161833,0.806784,0.113291,0.61175,0.14042296327145806
llama1b:llama3b->qwen7b,llama1b,llama3b,qwen7b,16,converter_only,llama1b_to_llama3b_to_qwen7b_converter_only_mem16_len128_100000samples_20260424_172840,0.737776,0.617943,0.894188,0.8375753616273774
llama1b:llama8b->llama1b,llama1b,llama8b,llama1b,16,converter_only,llama1b_to_llama8b_to_llama1b_converter_only_mem16_len128_100000samples_20260424_201146,0.83109,0.374313,0.864469,0.45038804461610654
llama1b:llama8b->llama3b,llama1b,llama8b,llama3b,16,converter_only,llama1b_to_llama8b_to_llama3b_converter_only_mem16_len128_100000samples_20260424_211330,0.84162,0.69826,0.96693,0.8296618426368194
llama1b:llama8b->mistral7b,llama1b,llama8b,mistral7b,16,converter_only,llama1b_to_llama8b_to_mistral7binstruct_converter_only_mem16_len128_100000samples_20260425_032828,0.696228,0.595064,0.917781,0.8546970245379388
llama1b:llama8b->qwen1.5b,llama1b,llama8b,qwen1.5b,16,converter_only,llama1b_to_llama8b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260424_235043,0.765626,0.006392,0.436531,0.008348723789421988
llama1b:llama8b->qwen3b,llama1b,llama8b,qwen3b,16,converter_only,llama1b_to_llama8b_to_qwen3b_converter_only_mem16_len128_100000samples_20260425_005524,0.806784,0.008289,0.454695,0.010274125416468348
llama1b:llama8b->qwen7b,llama1b,llama8b,qwen7b,16,converter_only,llama1b_to_llama8b_to_qwen7b_converter_only_mem16_len128_100000samples_20260425_020635,0.737776,0.279352,0.767,0.37864067142330465
llama1b:mistral7b->llama1b,llama1b,mistral7b,llama1b,16,converter_only,llama1b_to_mistral7b_to_llama1b_converter_only_mem16_len128_100000samples_20260425_045512,0.83109,0.110044,0.617508,0.13240924568939585
llama1b:mistral7b->llama3b,llama1b,mistral7b,llama3b,16,converter_only,llama1b_to_mistral7b_to_llama3b_converter_only_mem16_len128_100000samples_20260425_055653,0.84162,0.220441,0.706984,0.26192462156317575
llama1b:mistral7b->llama8b,llama1b,mistral7b,llama8b,16,converter_only,llama1b_to_mistral7b_to_llama8b_converter_only_mem16_len128_100000samples_20260425_070949,0.837688,0.129963,0.676813,0.15514487494150567
llama1b:mistral7b->qwen1.5b,llama1b,mistral7b,qwen1.5b,16,converter_only,llama1b_to_mistral7b_to_qwen1.5b_converter_only_mem16_len128_100000samples_20260425_083610,0.765626,0.009649,0.438844,0.012602759049457566
llama1b:mistral7b->qwen3b,llama1b,mistral7b,qwen3b,16,converter_only,llama1b_to_mistral7b_to_qwen3b_converter_only_mem16_len128_100000samples_20260425_094014,0.806784,0.012394,0.459617,0.015362228303982232
llama1b:mistral7b->qwen7b,llama1b,mistral7b,qwen7b,16,converter_only,llama1b_to_mistral7b_to_qwen7b_converter_only_mem16_len128_100000samples_20260425_105022,0.737776,0.139063,0.647648,0.18848946021556678
llama1b:qwen1.5b->llama1b,llama1b,qwen1.5b,llama1b,16,converter_only,llama1b_to_qwen1.5b_to_llama1b_converter_only_mem16_len128_100000samples_20260425_133120,0.83109,0.402523,0.839234,0.484331420183133
llama1b:qwen1.5b->llama3b,llama1b,qwen1.5b,llama3b,16,converter_only,llama1b_to_qwen1.5b_to_llama3b_converter_only_mem16_len128_100000samples_20260425_143151,0.84162,0.538012,0.892398,0.6392576222047955
