pair,encoder,source,target,mem_tokens,method,checkpoint_name,origin_target_bleu,transfer_bleu,transfer_accuracy,transfer_retention
gpt2:llama1b->llama3b,gpt2,llama1b,llama3b,8,encoder_converter,gpt2_to_llama1b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260415_102231,0.398836,0.242158,0.694523,0.6071618409571854
gpt2:llama1b->mistral7b,gpt2,llama1b,mistral7b,8,encoder_converter,gpt2_to_llama1b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260416_073438,0.431169,0.260937,0.758867,0.6051849738733535
gpt2:llama1b->qwen1.5b,gpt2,llama1b,qwen1.5b,8,encoder_converter,gpt2_to_llama1b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_051937,0.205289,0.025424,0.472219,0.12384492106250213
gpt2:llama1b->qwen3b,gpt2,llama1b,qwen3b,8,encoder_converter,gpt2_to_llama1b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_055534,0.254545,0.054457,0.507773,0.21393859631892198
gpt2:llama1b->qwen7b,gpt2,llama1b,qwen7b,8,encoder_converter,gpt2_to_llama1b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_064100,0.158492,0.203627,0.655633,1.2847777805819853
gpt2:llama3b->llama1b,gpt2,llama3b,llama1b,8,encoder_converter,gpt2_to_llama3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_081932,0.297899,0.19372,0.646828,0.6502875135532512
gpt2:llama3b->llama8b,gpt2,llama3b,llama8b,8,encoder_converter,gpt2_to_llama3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260416_094032,0.489351,0.386272,0.798719,0.7893556976485182
gpt2:llama3b->mistral7b,gpt2,llama3b,mistral7b,8,encoder_converter,gpt2_to_llama3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260416_165058,0.431169,0.318305,0.789672,0.7382372109312125
gpt2:llama3b->qwen1.5b,gpt2,llama3b,qwen1.5b,8,encoder_converter,gpt2_to_llama3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_102429,0.205289,0.024017,0.466883,0.11699116854775463
gpt2:llama3b->qwen3b,gpt2,llama3b,qwen3b,8,encoder_converter,gpt2_to_llama3b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_151024,0.254545,0.027736,0.467687,0.10896305171973521
gpt2:llama3b->qwen7b,gpt2,llama3b,qwen7b,8,encoder_converter,gpt2_to_llama3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_155808,0.158492,0.249147,0.691547,1.5719847058526615
gpt2:llama8b->llama1b,gpt2,llama8b,llama1b,8,encoder_converter,gpt2_to_llama8b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_173509,0.297899,0.193223,0.637789,0.6486191628706374
gpt2:llama8b->llama3b,gpt2,llama8b,llama3b,8,encoder_converter,gpt2_to_llama8b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260416_180833,0.398836,0.243074,0.706008,0.6094585243057297
gpt2:llama8b->mistral7b,gpt2,llama8b,mistral7b,8,encoder_converter,gpt2_to_llama8b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260416_213601,0.431169,0.260176,0.759461,0.603420004684938
gpt2:llama8b->qwen1.5b,gpt2,llama8b,qwen1.5b,8,encoder_converter,gpt2_to_llama8b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260416_192649,0.205289,0.023361,0.465492,0.11379567341650064
gpt2:llama8b->qwen3b,gpt2,llama8b,qwen3b,8,encoder_converter,gpt2_to_llama8b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260416_195841,0.254545,0.041673,0.489672,0.16371564949223122
gpt2:llama8b->qwen7b,gpt2,llama8b,qwen7b,8,encoder_converter,gpt2_to_llama8b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260416_204405,0.158492,0.202648,0.666727,1.278600812659314
gpt2:mistral7b->llama1b,gpt2,mistral7b,llama1b,8,encoder_converter,gpt2_to_mistral7b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260416_221912,0.297899,0.145122,0.613062,0.48715168563842104
gpt2:mistral7b->llama3b,gpt2,mistral7b,llama3b,8,encoder_converter,gpt2_to_mistral7b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260416_225229,0.398836,0.237506,0.69532,0.5954978988857575
gpt2:mistral7b->llama8b,gpt2,mistral7b,llama8b,8,encoder_converter,gpt2_to_mistral7b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260416_233754,0.489351,0.210233,0.708023,0.42961596073166297
gpt2:mistral7b->qwen1.5b,gpt2,mistral7b,qwen1.5b,8,encoder_converter,gpt2_to_mistral7b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_002017,0.205289,0.013029,0.458195,0.06346662509925033
gpt2:mistral7b->qwen3b,gpt2,mistral7b,qwen3b,8,encoder_converter,gpt2_to_mistral7b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_005528,0.254545,0.033696,0.477547,0.13237737924532006
gpt2:mistral7b->qwen7b,gpt2,mistral7b,qwen7b,8,encoder_converter,gpt2_to_mistral7b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_014028,0.158492,0.196479,0.643312,1.2396777124397445
gpt2:qwen1.5b->llama1b,gpt2,qwen1.5b,llama1b,8,encoder_converter,gpt2_to_qwen1.5b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260417_031538,0.297899,0.193051,0.629461,0.648041785974441
gpt2:qwen1.5b->llama3b,gpt2,qwen1.5b,llama3b,8,encoder_converter,gpt2_to_qwen1.5b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260417_034834,0.398836,0.249545,0.697352,0.6256832382232296
gpt2:qwen1.5b->llama8b,gpt2,qwen1.5b,llama8b,8,encoder_converter,gpt2_to_qwen1.5b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260417_043351,0.489351,0.342538,0.758523,0.6999842648732709
gpt2:qwen1.5b->mistral7b,gpt2,qwen1.5b,mistral7b,8,encoder_converter,gpt2_to_qwen1.5b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260417_072839,0.431169,0.30541,0.774188,0.7083301443285579
gpt2:qwen1.5b->qwen3b,gpt2,qwen1.5b,qwen3b,8,encoder_converter,gpt2_to_qwen1.5b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_055153,0.254545,0.011942,0.457367,0.04691508377693531
gpt2:qwen1.5b->qwen7b,gpt2,qwen1.5b,qwen7b,8,encoder_converter,gpt2_to_qwen1.5b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_063656,0.158492,0.223211,0.677438,1.4083423769023042
gpt2:qwen3b->llama1b,gpt2,qwen3b,llama1b,8,encoder_converter,gpt2_to_qwen3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260417_081219,0.297899,0.117367,0.570805,0.3939825242783628
gpt2:qwen3b->llama3b,gpt2,qwen3b,llama3b,8,encoder_converter,gpt2_to_qwen3b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260417_084513,0.398836,0.223587,0.685289,0.5605988426320593
gpt2:qwen3b->llama8b,gpt2,qwen3b,llama8b,8,encoder_converter,gpt2_to_qwen3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260417_093022,0.489351,0.313927,0.746766,0.6415170296985191
gpt2:qwen3b->mistral7b,gpt2,qwen3b,mistral7b,8,encoder_converter,gpt2_to_qwen3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260417_122639,0.431169,0.302923,0.772203,0.702562104418453
gpt2:qwen3b->qwen1.5b,gpt2,qwen3b,qwen1.5b,8,encoder_converter,gpt2_to_qwen3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_101349,0.205289,0.045134,0.48932,0.2198559104481974
gpt2:qwen3b->qwen7b,gpt2,qwen3b,qwen7b,8,encoder_converter,gpt2_to_qwen3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_113417,0.158492,0.211373,0.664898,1.3336509098251017
gpt2:qwen7b->llama1b,gpt2,qwen7b,llama1b,8,encoder_converter,gpt2_to_qwen7b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260417_131018,0.297899,0.204477,0.641914,0.686397067462462
gpt2:qwen7b->llama3b,gpt2,qwen7b,llama3b,8,encoder_converter,gpt2_to_qwen7b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260417_134318,0.398836,0.232721,0.690641,0.583500486415469
gpt2:qwen7b->llama8b,gpt2,qwen7b,llama8b,8,encoder_converter,gpt2_to_qwen7b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260417_142819,0.489351,0.352624,0.779914,0.7205952373654085
gpt2:qwen7b->mistral7b,gpt2,qwen7b,mistral7b,8,encoder_converter,gpt2_to_qwen7b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260417_172616,0.431169,0.329115,0.781711,0.7633085866562762
gpt2:qwen7b->qwen1.5b,gpt2,qwen7b,qwen1.5b,8,encoder_converter,gpt2_to_qwen7b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_151149,0.205289,0.028489,0.467414,0.13877509267423
gpt2:qwen7b->qwen3b,gpt2,qwen7b,qwen3b,8,encoder_converter,gpt2_to_qwen7b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_154656,0.254545,0.020551,0.469984,0.08073621560038499
llama1b:llama1b->llama3b,llama1b,llama1b,llama3b,8,encoder_converter,llama1b_to_llama1b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260417_191410,0.708882,0.299582,0.810375,0.4226119438778245
llama1b:llama1b->llama8b,llama1b,llama1b,llama8b,8,encoder_converter,llama1b_to_llama1b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260417_202813,0.543865,0.502922,0.895188,0.9247184503507303
llama1b:llama1b->mistral7b,llama1b,llama1b,mistral7b,8,encoder_converter,llama1b_to_llama1b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260418_010254,0.821058,0.517313,0.893141,0.6300565855274537
llama1b:llama1b->qwen1.5b,llama1b,llama1b,qwen1.5b,8,encoder_converter,llama1b_to_llama1b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260417_213634,0.415635,0.142086,0.604664,0.34185282760114044
llama1b:llama1b->qwen3b,llama1b,llama1b,qwen3b,8,encoder_converter,llama1b_to_llama1b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260417_223704,0.589789,0.083853,0.549914,0.14217457429690958
llama1b:llama1b->qwen7b,llama1b,llama1b,qwen7b,8,encoder_converter,llama1b_to_llama1b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260417_234557,0.29031,0.328381,0.786367,1.1311391271399538
llama1b:llama3b->llama1b,llama1b,llama3b,llama1b,8,encoder_converter,llama1b_to_llama3b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_021049,0.670358,0.269262,0.770617,0.40166895897416005
llama1b:llama3b->llama8b,llama1b,llama3b,llama8b,8,encoder_converter,llama1b_to_llama3b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260418_041813,0.543865,0.523656,0.905969,0.9628418817169702
llama1b:llama3b->mistral7b,llama1b,llama3b,mistral7b,8,encoder_converter,llama1b_to_llama3b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260418_090317,0.821058,0.482037,0.873313,0.5870925074720665
llama1b:llama3b->qwen1.5b,llama1b,llama3b,qwen1.5b,8,encoder_converter,llama1b_to_llama3b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260418_052713,0.415635,0.085089,0.558219,0.20472048792811
llama1b:llama3b->qwen3b,llama1b,llama3b,qwen3b,8,encoder_converter,llama1b_to_llama3b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260418_062757,0.589789,0.109126,0.577141,0.18502549216753789
llama1b:llama3b->qwen7b,llama1b,llama3b,qwen7b,8,encoder_converter,llama1b_to_llama3b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260418_074138,0.29031,0.249573,0.718586,0.8596775860287278
llama1b:llama8b->llama1b,llama1b,llama8b,llama1b,8,encoder_converter,llama1b_to_llama8b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_101739,0.670358,0.213695,0.694031,0.3187774293735586
llama1b:llama8b->llama3b,llama1b,llama8b,llama3b,8,encoder_converter,llama1b_to_llama8b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260418_112117,0.708882,0.240528,0.761383,0.3393061186488019
llama1b:llama8b->mistral7b,llama1b,llama8b,mistral7b,8,encoder_converter,llama1b_to_llama8b_to_mistral7binstruct_encoder_converter_mem8_len128_100000samples_20260418_173033,0.821058,0.179688,0.725828,0.21884933829278808
llama1b:llama8b->qwen1.5b,llama1b,llama8b,qwen1.5b,8,encoder_converter,llama1b_to_llama8b_to_qwen1.5b_encoder_converter_mem8_len128_100000samples_20260418_135056,0.415635,0.057494,0.512961,0.13832810037653231
llama1b:llama8b->qwen3b,llama1b,llama8b,qwen3b,8,encoder_converter,llama1b_to_llama8b_to_qwen3b_encoder_converter_mem8_len128_100000samples_20260418_145548,0.589789,0.013128,0.464609,0.022258807810928993
llama1b:llama8b->qwen7b,llama1b,llama8b,qwen7b,8,encoder_converter,llama1b_to_llama8b_to_qwen7b_encoder_converter_mem8_len128_100000samples_20260418_160918,0.29031,0.159547,0.660242,0.5495745926767938
llama1b:mistral7b->llama1b,llama1b,mistral7b,llama1b,8,encoder_converter,llama1b_to_mistral7b_to_llama1b_encoder_converter_mem8_len128_100000samples_20260418_184258,0.670358,0.302666,0.766789,0.4514990497614707
llama1b:mistral7b->llama3b,llama1b,mistral7b,llama3b,8,encoder_converter,llama1b_to_mistral7b_to_llama3b_encoder_converter_mem8_len128_100000samples_20260418_194130,0.708882,0.378227,0.834852,0.5335542445710287
llama1b:mistral7b->llama8b,llama1b,mistral7b,llama8b,8,encoder_converter,llama1b_to_mistral7b_to_llama8b_encoder_converter_mem8_len128_100000samples_20260418_205231,0.543865,0.433173,0.869477,0.796471550844419
