features,n_features,alpha,objective,objective_with_penalty,min_full_coef,t1_abs_spearman_loto,t2_abs_spearman_loto,t1_top1_loto,t2_top1_loto,t1_abs_spearman_loco,t2_abs_spearman_loco,t1_top1_loco,t2_top1_loco
target_hidden_size|source_native_nll|prior_same_model_family,3,30.0,0.543495847487377,0.543495847487377,0.027805512228997496,0.5124875124875125,0.5265306122448979,0.14285714285714285,0.2857142857142857,0.47952047952047955,0.6554447856966179,0.42857142857142855,0.35714285714285715
target_hidden_size|source_native_nll|prior_same_model_family,3,10.0,0.5422154242794411,0.5422154242794411,0.03751475745251262,0.5124875124875125,0.5551020408163265,0.14285714285714285,0.2857142857142857,0.46653346653346656,0.6347386772804591,0.5714285714285714,0.35714285714285715
target_hidden_size|source_native_nll|prior_same_model_family,3,3.0,0.5363557453630429,0.5363557453630429,0.04167487891628593,0.5014985014985015,0.5469387755102041,0.14285714285714285,0.2857142857142857,0.47052947052947053,0.6264562339139955,0.5714285714285714,0.35714285714285715
target_hidden_size|source_native_nll|prior_same_model_family,3,1.0,0.5353353371997776,0.5353353371997776,0.043031593879702706,0.5014985014985015,0.5428571428571428,0.14285714285714285,0.2857142857142857,0.47052947052947053,0.6264562339139955,0.5714285714285714,0.35714285714285715
target_hidden_size|source_native_nll|prior_same_model_family,3,0.01,0.5345860864505269,0.5345860864505269,0.04373510311620778,0.49950049950049946,0.5428571428571428,0.14285714285714285,0.2857142857142857,0.4695304695304695,0.6264562339139955,0.5714285714285714,0.35714285714285715
target_hidden_size|source_native_nll|prior_same_model_family,3,0.1,0.5345860864505269,0.5345860864505269,0.04367023464385925,0.49950049950049946,0.5428571428571428,0.14285714285714285,0.2857142857142857,0.4695304695304695,0.6264562339139955,0.5714285714285714,0.35714285714285715
target_hidden_size|target_direction_subspace_residual|source_native_nll|prior_same_model_family,4,3.0,0.5142999857285572,0.5112999857285572,0.025852434545351112,0.4745254745254745,0.5061224489795918,0.2857142857142857,0.14285714285714285,0.4275724275724276,0.6489795918367347,0.2857142857142857,0.21428571428571427
source_native_nll|target_minus_source_nll|prior_same_model_family,3,30.0,0.49661053232481805,0.49661053232481805,0.0043740661452248844,0.48951048951048953,0.4897959183673469,0.14285714285714285,0.0,0.47652347652347654,0.5306122448979592,0.2857142857142857,0.35714285714285715
target_hidden_size|target_direction_subspace_residual|source_native_nll|prior_same_model_family,4,1.0,0.49529042386185246,0.49229042386185246,0.03942079214656536,0.4595404595404595,0.4612244897959184,0.2857142857142857,0.14285714285714285,0.4195804195804196,0.6408163265306123,0.2857142857142857,0.14285714285714285
source_native_nll|target_minus_source_nll|prior_same_model_family,3,10.0,0.4874482660196946,0.4874482660196946,0.009865213792439596,0.4905094905094905,0.4530612244897959,0.14285714285714285,0.0,0.47152847152847155,0.5346938775510204,0.2857142857142857,0.42857142857142855
target_hidden_size|target_direction_subspace_residual|source_native_nll|prior_same_model_family,4,0.01,0.48708434422720137,0.48408434422720137,0.04274048319794868,0.45654345654345657,0.4204081632653061,0.2857142857142857,0.14285714285714285,0.43056943056943053,0.6408163265306123,0.2857142857142857,0.14285714285714285
target_text_nll|source_native_nll|prior_same_model_family,3,0.01,0.4831382902811474,0.4831382902811474,0.012799965042857174,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.47352647352647353,0.5428571428571428,0.2857142857142857,0.42857142857142855
target_text_nll|source_native_nll|prior_same_model_family,3,0.1,0.4831382902811474,0.4831382902811474,0.012780399291766898,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.47352647352647353,0.5428571428571428,0.2857142857142857,0.42857142857142855
target_text_nll|source_native_nll|prior_same_model_family,3,1.0,0.4831382902811474,0.4831382902811474,0.012587843107509305,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.47352647352647353,0.5428571428571428,0.2857142857142857,0.42857142857142855
source_native_nll|target_minus_source_nll|prior_same_model_family,3,0.01,0.4831382902811474,0.4831382902811474,0.015548128818724314,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.47352647352647353,0.5428571428571428,0.2857142857142857,0.42857142857142855
source_native_nll|target_minus_source_nll|prior_same_model_family,3,0.1,0.4831382902811474,0.4831382902811474,0.015480185870546068,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.47352647352647353,0.5428571428571428,0.2857142857142857,0.42857142857142855
source_native_nll|target_minus_source_nll|prior_same_model_family,3,1.0,0.4831382902811474,0.4831382902811474,0.014821920805962544,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.47352647352647353,0.5428571428571428,0.2857142857142857,0.42857142857142855
source_native_nll|target_minus_source_nll|prior_same_model_family,3,3.0,0.48241044669616095,0.48241044669616095,0.013485509963756472,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.46653346653346656,0.5469387755102041,0.2857142857142857,0.42857142857142855
target_hidden_size|target_direction_subspace_residual|source_native_nll|prior_same_model_family,4,0.1,0.4853360924789496,0.4823360924789496,0.04269026554337374,0.45654345654345657,0.4204081632653061,0.2857142857142857,0.14285714285714285,0.42357642357642356,0.6408163265306123,0.2857142857142857,0.14285714285714285
target_text_nll|source_native_nll|prior_same_model_family,3,3.0,0.48139003853289564,0.48139003853289564,0.01217921651465941,0.4835164835164835,0.43265306122448977,0.14285714285714285,0.0,0.46653346653346656,0.5428571428571428,0.2857142857142857,0.42857142857142855
